,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,start,elapsed_time
31,read,393.6,339.5,160.7,214.7,226.7,330.7,421.2,478.8,521.8,565.8,616.3,689.4,924.8,3677.0,12776.2,46552.6,46458,2023-05-25 04:13:22.923125,5.166666666666667
32,read,420.2,623.9,160.7,217.5,229.6,355.3,459.8,515.6,549.4,585.7,630.8,703.8,945.8,5589.9,27068.8,30877.3,30755,2023-05-25 04:13:32.923125,5.333333333333333
33,read,399.9,334.3,160.7,215.9,227.7,336.4,431.0,491.6,532.9,576.5,628.0,704.6,950.8,3789.3,9070.5,42907.9,42889,2023-05-25 04:13:42.923125,5.5
34,read,391.9,514.0,160.7,215.5,227.2,314.0,370.8,408.4,440.8,484.4,544.1,660.2,1647.3,5135.6,19272.4,93613.7,93552,2023-05-25 04:13:52.923125,5.666666666666667
35,read,381.1,405.2,160.7,214.6,226.1,314.2,383.4,431.5,470.2,518.9,575.8,664.8,1015.0,4199.4,15699.2,65676.3,65694,2023-05-25 04:14:02.923125,5.833333333333333
36,read,423.8,405.9,160.7,219.4,231.7,363.8,467.1,520.9,554.0,589.8,635.1,711.3,983.6,4753.5,12527.8,29610.9,29574,2023-05-25 04:14:12.923125,6.0
37,read,394.9,352.1,173.5,216.5,228.0,329.2,414.4,470.3,512.7,558.6,614.2,699.3,1002.2,4112.5,12788.1,51411.9,51355,2023-05-25 04:14:22.923125,6.166666666666667
38,read,382.0,474.6,160.7,215.0,226.4,315.7,383.6,429.1,465.5,510.5,567.8,665.1,1084.3,4244.9,13389.4,67222.2,67361,2023-05-25 04:14:32.923125,6.333333333333333
39,read,437.9,539.1,173.5,226.6,242.9,405.3,478.6,515.0,537.6,564.2,597.3,659.5,890.3,7319.4,29341.6,16326.0,16287,2023-05-25 04:14:42.923125,6.5
40,read,382.7,411.3,160.7,216.3,227.7,315.5,377.0,418.6,452.7,496.6,555.1,663.2,1160.1,4508.2,12868.6,81480.3,81508,2023-05-25 04:14:52.923125,6.666666666666667
41,read,379.8,449.0,160.7,217.7,228.5,312.3,369.6,407.3,439.5,482.9,541.1,642.6,1195.7,4330.7,19089.9,87574.0,87619,2023-05-25 04:15:02.923125,6.833333333333333
42,read,400.8,529.9,160.7,219.0,230.3,318.0,374.9,413.2,445.2,487.9,548.5,674.0,2090.3,5382.2,22054.2,99109.1,99068,2023-05-25 04:15:12.923125,7.0
43,read,394.2,418.3,160.7,217.1,228.4,326.9,408.6,463.7,506.1,552.0,605.4,687.6,972.4,4672.5,14345.3,51360.7,51267,2023-05-25 04:15:22.923125,7.166666666666667
44,read,445.9,520.0,173.5,236.6,256.9,414.4,473.3,504.2,526.1,548.8,581.2,633.3,1022.7,7122.1,30202.7,11777.7,11822,2023-05-25 04:15:32.923125,7.333333333333333
45,read,375.9,449.7,160.7,215.9,227.1,308.7,361.3,395.5,424.2,463.1,519.7,621.8,1308.6,4405.0,16117.7,97524.6,97494,2023-05-25 04:15:42.923125,7.5
46,read,387.8,483.6,160.7,217.9,228.9,313.7,369.0,405.1,436.1,477.8,537.2,647.4,1509.8,4750.2,16964.8,97403.7,97350,2023-05-25 04:15:52.923125,7.666666666666667
47,read,388.6,397.7,160.7,216.0,227.3,321.5,399.2,451.5,492.3,538.8,592.4,678.3,1001.7,4537.6,14512.3,55545.0,55460,2023-05-25 04:16:02.923125,7.833333333333333
48,read,380.6,444.7,160.7,216.6,227.7,312.8,371.7,411.1,444.0,488.1,547.0,653.8,1212.0,4312.2,21372.5,86204.3,85984,2023-05-25 04:16:12.923125,8.0
49,read,390.5,461.6,160.7,217.8,228.6,315.7,377.9,419.7,454.5,500.0,560.8,673.2,1388.3,4375.9,16538.3,82123.1,82043,2023-05-25 04:16:22.923125,8.166666666666666
50,read,393.0,400.6,160.7,216.1,227.5,324.0,406.3,461.0,502.4,548.0,601.3,687.3,1022.4,4903.2,15116.2,53002.7,52873,2023-05-25 04:16:32.923125,8.333333333333334
51,read,431.2,415.5,173.5,229.5,247.0,408.8,474.4,507.2,529.7,553.2,585.0,635.2,808.5,5747.2,15608.0,13943.9,13911,2023-05-25 04:16:42.923125,8.5
52,read,391.1,405.8,160.7,215.7,227.4,327.2,410.0,464.4,505.6,549.3,601.1,682.6,951.9,4170.9,18823.6,49846.9,49984,2023-05-25 04:16:52.923125,8.666666666666666
53,read,436.4,510.2,173.5,243.7,267.6,405.7,455.3,481.4,501.0,524.0,549.9,598.3,873.5,8078.6,18813.2,9278.6,9274,2023-05-25 04:17:02.923125,8.833333333333334
54,read,432.3,323.6,173.5,225.8,241.7,387.9,476.4,521.4,549.0,583.7,629.6,708.2,1074.1,4141.4,9964.0,27246.8,27187,2023-05-25 04:17:12.923125,9.0
55,read,427.4,399.6,173.5,224.7,240.1,397.1,480.7,520.6,544.3,572.3,606.0,662.1,868.0,4144.3,15900.9,18799.2,18735,2023-05-25 04:17:22.923125,9.166666666666666
56,read,367.8,397.7,160.7,213.7,225.3,309.3,367.4,405.4,437.6,479.9,537.7,635.1,1022.2,4529.6,13325.1,86355.6,86505,2023-05-25 04:17:32.923125,9.333333333333334
57,read,367.3,373.0,160.7,214.7,226.2,310.3,366.2,402.2,433.4,474.5,534.3,634.6,1063.3,4318.8,13590.1,93077.1,93039,2023-05-25 04:17:42.923125,9.5
58,read,371.3,356.0,160.7,214.1,225.7,312.7,376.2,419.9,455.1,501.2,561.0,661.7,1025.7,3649.4,12128.2,75942.6,75999,2023-05-25 04:17:52.923125,9.666666666666666
59,read,412.3,351.9,160.7,218.7,230.7,354.1,455.2,512.6,547.3,584.4,629.6,699.9,930.7,4251.8,14410.9,32413.8,32324,2023-05-25 04:18:02.923125,9.833333333333334
60,read,371.2,341.7,160.7,216.4,227.7,314.5,374.0,413.8,446.5,490.0,547.9,653.4,1047.9,3978.4,12760.9,84137.1,84255,2023-05-25 04:18:12.923125,10.0
61,read,367.3,364.0,160.7,213.8,225.4,309.6,369.6,409.2,442.4,486.3,544.3,643.7,1020.4,3950.1,15234.0,81775.3,81759,2023-05-25 04:18:22.923125,10.166666666666666
62,read,405.8,410.4,160.7,216.3,228.1,342.0,437.0,492.4,530.6,571.2,620.5,699.2,971.2,5185.4,16621.9,37388.0,37291,2023-05-25 04:18:32.923125,10.333333333333334
63,read,387.1,357.0,160.7,214.9,226.7,323.5,402.8,456.2,496.3,541.5,594.4,684.1,989.0,4087.8,12962.1,53796.9,53818,2023-05-25 04:18:42.923125,10.5
64,read,416.7,473.9,160.7,218.6,230.5,356.8,455.7,508.7,540.8,577.2,622.5,692.5,950.8,5832.1,20284.6,30251.0,30297,2023-05-25 04:18:52.923125,10.666666666666666
65,read,416.0,379.7,160.7,218.9,231.0,358.0,458.5,513.8,547.6,585.6,632.7,711.3,960.9,4340.8,15464.0,31516.6,31569,2023-05-25 04:19:02.923125,10.833333333333334
66,read,404.9,376.7,160.7,217.0,228.8,343.6,437.3,494.2,532.4,573.1,623.1,702.4,949.3,4257.8,12707.1,38807.7,38927,2023-05-25 04:19:12.923125,11.0
67,read,425.4,547.4,173.5,236.4,256.5,396.0,447.6,473.7,494.0,515.9,543.5,590.1,819.9,6703.4,30692.4,10670.3,10652,2023-05-25 04:19:22.923125,11.166666666666666
68,read,372.3,412.1,160.7,215.6,227.2,312.6,368.1,403.9,434.7,476.1,534.8,638.6,1098.0,4291.2,12333.3,98071.6,98119,2023-05-25 04:19:32.923125,11.333333333333334
69,read,386.1,319.9,160.7,214.6,226.3,325.7,407.0,459.6,499.3,542.4,591.7,671.2,960.7,4198.1,9812.6,48262.9,48176,2023-05-25 04:19:42.923125,11.5
70,read,405.6,347.7,160.7,217.3,229.2,345.3,441.4,497.6,534.0,572.9,619.9,691.9,943.4,4112.3,11798.1,34847.1,34929,2023-05-25 04:19:52.923125,11.666666666666666
71,read,375.1,373.5,160.7,215.2,226.7,315.7,381.9,426.3,462.5,508.9,568.3,662.2,1002.9,4125.6,12882.9,69730.6,69735,2023-05-25 04:20:02.923125,11.833333333333334
72,read,415.7,326.5,173.5,221.4,235.1,383.2,470.6,513.0,538.9,567.8,601.5,658.9,833.0,3930.5,11031.6,20732.4,20753,2023-05-25 04:20:12.923125,12.0
73,read,372.3,420.9,160.7,215.0,226.4,311.2,370.5,409.9,442.3,486.2,544.3,644.9,1064.5,4647.8,18911.5,84810.1,84642,2023-05-25 04:20:22.923125,12.166666666666666
74,read,397.3,393.5,160.7,215.3,227.1,332.8,422.3,477.8,517.8,558.1,607.1,685.1,970.3,4264.7,13804.6,42377.6,42333,2023-05-25 04:20:32.923125,12.333333333333334
75,read,384.3,304.5,160.7,216.8,228.3,323.4,399.3,450.0,490.3,538.1,594.1,683.6,983.1,3698.0,8077.5,61378.4,61587,2023-05-25 04:20:42.923125,12.5
76,read,376.2,425.2,160.7,215.9,227.2,313.7,375.6,418.2,453.6,499.2,557.6,656.3,1027.9,4816.3,15846.4,77997.2,77998,2023-05-25 04:20:52.923125,12.666666666666666
77,read,376.4,390.7,160.7,216.8,228.3,316.0,372.1,409.0,440.0,482.0,540.9,649.7,1116.6,4322.3,12869.6,97793.9,97625,2023-05-25 04:21:02.923125,12.833333333333334
78,read,420.5,401.9,173.5,220.3,233.3,375.1,472.3,519.3,547.2,578.1,616.7,678.5,900.0,4129.1,16828.0,23810.2,23781,2023-05-25 04:21:12.923125,13.0
79,read,374.0,395.6,160.7,214.3,225.9,313.3,380.0,426.5,464.2,510.7,567.0,650.7,950.6,4260.3,15732.1,66707.4,66723,2023-05-25 04:21:22.923125,13.166666666666666
80,read,412.1,355.5,173.5,218.8,230.6,356.3,455.0,509.4,542.5,578.5,623.1,691.8,937.3,4240.5,12228.4,31003.7,31016,2023-05-25 04:21:32.923125,13.333333333333334
81,read,393.6,380.2,160.7,215.9,227.8,331.9,415.9,469.8,510.6,553.1,604.1,686.1,971.4,4055.6,12371.5,47413.4,47394,2023-05-25 04:21:42.923125,13.5
82,read,371.0,385.0,160.7,216.5,228.1,315.3,371.2,407.2,437.8,479.2,537.1,638.6,1042.8,4111.8,15109.8,95346.7,95335,2023-05-25 04:21:52.923125,13.666666666666666
83,read,430.1,550.1,173.5,265.2,290.3,387.2,425.4,447.8,464.7,486.8,515.0,567.0,938.5,7757.9,25453.2,5294.1,5252,2023-05-25 04:22:02.923125,13.833333333333334
84,read,377.9,567.3,160.7,215.1,226.6,317.2,387.0,433.5,471.4,518.9,576.3,669.6,1020.6,3764.4,12101.3,65916.7,65908,2023-05-25 04:22:12.923125,14.0
