type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1325.4,1619.1,160.7,248.7,283.2,479.7,633.3,2341.8,3521.7,3623.9,3726.2,3890.6,4059.4,15853.0,29503.5,30061.6,30000
read,1229.8,1598.1,160.7,251.6,288.0,492.6,619.5,975.9,2835.0,3592.7,3719.0,3919.4,5582.5,15672.2,29408.4,34869.0,35000
read,1160.6,1630.3,160.7,247.4,279.3,484.0,586.4,688.9,1696.8,3559.8,3720.5,4015.9,5715.9,15826.1,30431.1,40063.8,40000
read,1069.8,1543.5,160.7,256.2,289.2,489.1,616.6,717.3,817.5,3317.5,3677.1,4008.5,5366.1,15848.6,31882.2,44928.4,45000
read,992.6,1400.1,160.7,258.7,293.4,480.4,598.8,695.0,789.0,969.0,3629.0,3949.3,5103.3,11963.0,29206.6,49765.2,50000
read,1377.4,1994.3,187.4,420.8,449.5,593.8,921.2,1006.3,1075.2,3578.2,4610.9,5044.6,7654.5,25952.1,39600.6,49612.8,55000
read,1413.9,2065.6,202.4,436.6,462.6,614.2,949.0,1036.5,1100.8,3742.0,4638.6,5045.6,7818.8,28621.1,37624.1,48665.2,60000
read,1330.6,1917.6,202.4,406.5,432.3,579.5,886.3,960.8,1015.3,3201.1,4571.9,5022.4,7732.1,22935.1,37557.0,51335.6,65000
read,1298.5,1885.7,173.5,394.9,420.1,574.9,856.9,932.5,997.1,3015.6,4544.7,4997.6,7702.8,22135.4,36567.9,52399.9,70000
read,1294.8,1919.2,187.4,389.3,414.4,570.2,851.5,920.4,977.2,1593.2,4524.3,5014.1,7776.8,24675.0,36539.2,52868.6,75000
read,1309.8,1918.8,187.4,390.3,418.0,597.3,857.7,931.0,994.5,3035.1,4542.6,5001.2,7764.4,25460.4,37479.6,52074.4,80000
read,1418.6,1971.0,218.6,440.4,469.0,619.5,958.2,1049.5,1122.8,3845.5,4648.3,5045.3,7826.3,25486.2,38051.4,48330.2,85000
read,1401.2,2093.2,218.6,431.8,456.1,593.6,935.4,1013.1,1078.9,3538.1,4632.8,5079.5,7929.9,29127.1,37701.0,49366.0,90000
read,1330.9,1961.6,173.5,397.7,423.6,588.4,871.4,943.2,1005.9,3095.0,4562.9,5026.8,7759.6,27335.5,35495.2,51434.6,95000
read,1363.4,1960.1,187.4,418.5,445.3,588.3,910.0,993.1,1060.0,3533.9,4603.1,5041.0,7782.5,26144.6,36418.1,50253.4,100000
read,1383.6,2010.7,187.4,425.1,451.1,593.4,927.6,1006.7,1072.7,3533.4,4625.9,5053.8,7836.9,27891.6,37867.9,49555.8,105000
read,1369.0,1957.8,187.4,423.5,449.9,588.1,921.6,1003.7,1069.5,3521.2,4610.8,5042.9,7738.6,25981.3,37538.9,49959.4,110000
read,1326.1,1605.3,160.7,249.2,280.8,470.8,615.1,2451.3,3525.6,3629.8,3734.1,3901.3,4061.7,15311.7,29879.4,30013.0,30000
read,1231.5,1578.6,160.7,255.0,291.4,523.3,658.0,822.4,2799.5,3590.7,3721.9,3961.3,5607.9,13264.2,29250.5,35051.4,35000
read,1143.7,1544.6,160.7,251.3,284.9,498.2,619.3,719.6,883.3,3550.9,3704.9,4018.1,5518.7,11273.2,27148.3,39838.8,40000
read,1058.5,1473.2,160.7,253.6,287.5,487.4,609.7,705.2,804.7,3224.8,3680.4,4026.1,5366.6,10107.6,29003.4,44910.4,45000
read,987.9,1401.3,160.7,257.0,290.0,475.9,590.9,677.0,759.6,938.8,3635.4,3947.4,5183.7,11773.6,28410.5,49753.8,50000
read,1325.7,1977.1,187.4,398.0,424.5,580.6,870.7,948.1,1008.8,3012.9,4539.3,5035.3,7855.1,25440.5,37560.1,51369.0,55000
read,1377.1,1952.6,187.4,423.5,450.4,596.1,915.1,1010.0,1088.9,3668.3,4619.6,5036.4,7702.3,25623.6,34310.5,49673.6,60000
read,1437.3,2016.3,173.5,446.6,475.4,616.1,973.0,1064.8,1142.5,3932.2,4675.4,5070.4,7807.9,26868.2,36072.6,47875.8,65000
read,1362.5,1947.2,187.4,417.9,444.4,588.9,908.3,993.1,1061.8,3554.1,4611.5,5042.4,7802.9,24647.5,37197.6,50194.2,70000
read,1297.3,1890.6,187.4,383.3,410.3,593.5,843.5,915.1,975.4,3035.4,4528.3,4982.5,7688.2,22677.7,36649.4,52803.8,75000
read,1355.3,1948.8,187.4,417.3,443.6,583.6,906.9,988.2,1053.0,3496.8,4598.8,5039.2,7772.1,25339.6,36179.6,50506.2,80000
read,1322.7,1919.7,202.4,401.8,427.4,581.6,866.5,951.5,1019.6,3165.0,4557.1,5021.0,7788.7,24836.2,35988.4,51726.8,85000
read,1338.8,1946.1,187.4,406.7,433.7,584.6,887.1,964.1,1021.5,3176.7,4576.9,5023.9,7829.0,24873.6,35632.8,51149.1,90000
read,1306.5,1888.0,187.4,388.8,416.0,584.8,860.2,931.3,992.8,3094.9,4542.9,5015.5,7695.1,23998.3,36452.5,52176.6,95000
read,1388.4,1952.1,202.4,426.1,454.5,614.0,919.3,1024.4,1106.4,3670.2,4619.3,5055.7,7742.8,24741.4,37268.0,49219.4,100000
read,1331.5,1945.5,173.5,407.5,433.4,576.3,883.1,963.1,1016.8,3148.7,4580.3,5023.4,7725.4,27454.7,35402.9,51439.8,105000
read,1473.1,2054.3,218.6,464.4,490.8,632.8,1001.4,1097.5,1178.0,4030.5,4682.7,5104.2,7921.9,28026.6,36844.5,46749.2,110000
read,1316.5,1630.9,160.7,245.5,278.7,469.7,613.1,2338.6,3521.5,3626.3,3731.0,3895.0,4054.4,15759.1,29753.6,30101.8,30000
read,1231.3,1565.6,160.7,253.9,293.5,516.1,653.2,836.2,2884.1,3596.6,3728.7,3949.2,5523.0,12376.8,29454.0,34816.8,35000
read,1148.5,1602.9,160.7,247.5,281.8,496.4,613.4,722.0,881.7,3552.1,3709.2,4024.4,5579.7,14112.8,30984.0,39901.2,40000
read,1055.9,1454.0,160.7,259.9,295.8,503.0,642.3,746.6,844.9,3070.6,3667.1,3981.4,5224.4,11855.6,29690.9,44927.2,45000
read,969.0,1346.1,160.7,258.6,293.3,485.2,618.2,716.6,802.4,935.4,3602.1,3869.5,4966.8,11526.9,28712.1,49961.2,50000
read,1347.3,2022.5,173.5,407.0,433.6,584.4,880.3,968.3,1041.8,3098.1,4572.0,5057.3,7779.5,28463.2,37382.2,50618.8,55000
read,1356.5,1996.7,173.5,416.2,443.7,581.4,894.7,989.6,1060.1,3470.8,4601.8,5050.9,7704.4,26589.1,37627.6,50589.2,60000
read,1359.2,1939.2,187.4,416.5,444.4,587.1,906.4,996.8,1065.6,3475.9,4601.9,5034.2,7813.1,25655.3,35367.9,50215.6,65000
read,1407.3,2005.8,187.4,439.3,463.3,601.7,950.6,1034.5,1098.9,3726.6,4652.7,5056.8,7886.5,28358.5,35743.5,48773.6,70000
read,1359.7,1902.6,202.4,424.3,450.2,587.5,915.8,1004.2,1075.6,3607.8,4616.3,5025.1,7563.6,25011.8,36092.9,50047.4,75000
read,1377.2,2036.3,173.5,428.7,451.7,584.3,916.5,1005.0,1075.6,3545.1,4622.8,5055.2,7848.4,28891.8,37531.2,50089.8,80000
read,1433.7,2079.0,202.4,439.3,468.0,627.8,956.5,1055.1,1143.7,3954.3,4670.2,5053.5,7709.1,27907.0,36725.9,47812.6,85000
read,1354.2,1987.2,173.5,412.7,440.9,580.8,896.1,985.2,1056.0,3523.4,4604.9,5002.2,7592.0,26764.8,38861.7,50851.8,90000
read,1314.8,1937.7,187.4,386.4,414.4,594.8,842.3,931.5,1011.6,3113.1,4535.4,5000.0,7559.2,25865.1,36267.4,52069.6,95000
read,1303.8,1913.0,187.4,392.9,418.8,578.6,852.2,930.8,996.3,3003.4,4544.2,5001.1,7695.3,25082.0,35866.7,52404.8,100000
read,1267.3,1821.7,187.4,381.6,407.2,563.1,835.2,907.9,963.6,2725.0,4506.4,4947.7,7175.3,21858.3,32799.4,53673.0,105000
