type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,1370.4,1938.3,202.4,417.2,446.2,598.7,908.7,1001.7,1077.3,3641.9,4615.9,5026.4,7719.5,24826.2,36024.7,49686.0,55000
read,1414.4,2031.9,187.4,438.7,462.7,608.2,945.2,1036.2,1110.2,3719.4,4653.4,5081.3,7921.6,26648.5,36767.0,48629.0,60000
read,1379.9,2025.7,173.5,417.3,444.6,596.5,909.4,990.8,1058.9,3519.3,4627.9,5065.6,7853.5,28164.8,37589.7,49785.4,65000
read,1279.0,1871.3,202.4,383.7,409.1,567.3,833.4,912.1,978.5,1561.5,4526.1,4977.7,7693.3,21812.1,35199.4,53270.4,70000
read,1351.5,1935.5,187.4,410.8,438.3,586.8,898.0,975.4,1034.4,3502.2,4607.4,5016.6,7742.5,23960.2,36347.2,50619.4,75000
read,1299.2,1956.4,187.4,394.6,417.7,559.2,852.8,925.4,986.0,1853.7,4534.1,4995.3,7730.9,28191.1,36720.2,52889.0,80000
read,1411.5,1961.3,187.4,441.1,467.7,607.2,955.9,1047.2,1116.3,3774.2,4658.3,5062.1,7798.8,24944.0,35447.1,48574.2,85000
read,1358.6,1984.5,202.4,414.4,441.5,583.8,898.0,986.0,1055.1,3443.4,4605.8,5038.2,7848.4,26848.9,36507.6,50606.2,90000
read,1385.5,2002.0,187.4,428.9,453.7,590.2,928.9,1012.1,1079.4,3602.6,4632.6,5062.1,7870.6,27684.2,36882.2,49503.8,95000
read,1414.2,2001.4,202.4,441.0,465.7,607.7,952.7,1039.4,1104.9,3746.9,4665.7,5074.7,7793.1,27751.5,37285.2,48534.2,100000
read,1389.6,2010.1,187.4,434.1,454.5,586.5,937.4,1012.7,1078.6,3614.6,4644.0,5066.2,7950.2,25494.9,35755.5,49490.2,105000
read,1377.8,2001.1,218.6,423.1,449.5,589.1,917.0,1002.8,1072.8,3539.8,4629.6,5046.5,7797.9,27256.2,37181.6,49816.4,110000
