type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,443.3,315.3,148.8,208.8,231.6,423.1,490.7,530.8,562.6,601.1,649.7,720.6,856.3,3825.7,12476.7,30098.4,30000
read,413.8,263.6,148.8,203.4,221.7,384.0,453.2,496.3,532.2,577.2,632.2,707.0,841.3,2771.2,8771.2,34995.2,35000
read,409.5,321.0,160.7,199.9,216.0,373.1,445.3,490.4,527.1,576.2,640.1,726.1,858.8,3846.4,9393.8,39984.6,40000
read,426.4,284.4,148.8,202.8,221.0,409.9,483.0,522.0,551.6,589.4,639.2,709.5,827.2,3040.9,10347.9,45074.6,45000
read,414.3,251.4,160.7,198.0,214.4,395.7,467.9,507.9,539.8,580.0,634.0,712.0,845.3,2437.4,8430.5,49945.6,50000
read,409.1,244.4,148.8,196.9,212.8,384.7,461.1,501.9,534.5,575.2,631.1,717.5,860.8,1962.4,9015.3,54880.2,55000
read,395.3,225.3,160.7,195.5,210.6,371.1,447.1,488.6,519.1,557.1,609.2,689.2,823.6,1296.1,8137.3,60131.2,60000
read,387.3,219.6,148.8,193.8,208.1,358.9,435.5,477.7,508.6,548.1,602.6,685.9,821.6,1190.5,8169.7,64968.2,65000
read,398.7,272.6,148.8,198.0,213.9,366.1,445.8,491.1,524.1,564.0,615.7,693.6,849.1,1617.5,9424.8,69954.2,70000
read,390.1,228.8,148.8,197.8,213.6,361.6,436.1,478.9,509.4,547.7,597.7,678.5,818.2,1273.3,8624.2,75103.0,75000
read,388.2,224.1,148.8,200.4,216.2,361.3,436.2,478.4,507.2,542.7,588.1,659.4,792.2,1331.9,10753.9,79893.2,80000
read,394.0,203.7,148.8,206.1,224.0,368.3,444.8,486.5,515.3,548.7,591.3,656.6,779.5,1153.9,7822.4,85014.4,85000
read,387.9,201.8,148.8,207.8,225.4,362.6,435.5,475.0,503.7,537.2,577.9,635.7,751.8,1076.8,8426.9,89901.2,90000
read,411.1,222.5,148.8,215.6,235.7,382.4,453.8,495.0,525.7,562.4,610.5,689.8,892.8,1209.8,8722.2,94926.6,95000
read,626.2,328.4,160.7,353.9,393.3,537.0,720.7,815.3,858.9,902.8,948.5,1012.2,1125.4,1981.6,12665.1,97629.0,100000
read,605.7,289.5,160.7,349.7,377.9,537.3,715.7,772.7,806.3,844.6,888.2,949.2,1073.2,1860.0,12289.6,102801.6,105000
read,644.0,290.6,173.5,393.3,419.1,534.4,778.0,851.9,888.9,922.6,961.3,1008.5,1094.3,1974.8,10491.4,100187.2,110000
read,419.5,301.6,160.7,206.7,226.6,389.2,460.9,504.4,541.3,583.8,634.7,701.5,829.7,3052.3,11083.4,29954.0,30000
read,428.9,275.5,160.7,206.6,227.2,404.4,474.8,518.4,554.9,597.5,649.0,718.3,855.6,2095.0,12250.0,34959.4,35000
read,414.7,240.3,160.7,202.0,219.5,389.9,458.8,499.9,533.8,577.1,634.6,712.6,843.1,2966.8,8920.9,39772.0,40000
