type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,419.2,261.3,160.7,206.5,227.0,389.5,460.7,503.7,540.0,584.7,639.7,718.0,847.1,2894.3,9385.5,29843.9,30000
read,425.4,291.9,160.7,206.7,227.3,403.8,471.3,509.0,541.9,582.6,637.5,717.8,843.4,1667.8,12583.8,34941.4,35000
read,401.4,291.7,148.8,199.8,216.5,370.0,437.5,480.5,514.4,561.1,620.4,703.1,819.7,3407.0,8538.1,39872.6,40000
read,421.9,319.2,160.7,202.5,220.4,400.4,471.4,509.7,541.7,582.0,636.6,717.4,854.1,2438.9,14543.5,44934.4,45000
read,402.5,260.7,148.8,194.7,210.2,383.4,454.0,491.6,520.5,558.7,611.8,688.1,809.5,2074.6,8097.8,50057.8,50000
read,414.0,218.9,148.8,197.3,214.0,396.3,475.2,515.3,545.2,581.8,631.7,708.0,845.0,1494.7,7729.8,55086.4,55000
read,385.3,197.5,148.8,194.4,208.9,359.9,430.8,470.0,500.7,539.9,595.5,687.2,819.9,1500.0,6713.8,60044.8,60000
read,386.9,241.6,148.8,193.1,207.4,360.6,432.1,472.0,502.0,540.8,592.2,678.6,820.3,2192.5,8716.2,64873.2,65000
read,393.8,252.0,148.8,196.2,212.1,364.2,444.1,487.8,518.7,555.7,606.1,684.6,827.1,1566.3,8305.6,69954.8,70000
read,404.5,222.2,148.8,202.0,219.4,376.5,456.3,499.9,532.3,570.8,620.4,695.5,839.8,1247.5,8426.7,74934.6,75000
read,384.6,236.9,148.8,198.0,213.8,357.1,429.2,471.2,502.1,538.7,586.2,660.7,799.1,1119.0,9078.3,79904.4,80000
read,390.6,223.2,148.8,202.9,219.6,361.3,434.8,477.3,507.6,543.5,589.9,665.7,818.2,1364.6,9336.2,84894.6,85000
read,379.9,188.9,148.8,203.3,219.9,354.3,424.5,464.3,493.3,527.7,571.1,633.6,760.4,1063.8,7935.6,90076.4,90000
read,386.6,201.9,148.8,206.6,224.4,360.6,426.3,464.5,493.9,530.0,578.0,651.7,801.9,1163.4,8526.5,94965.0,95000
read,457.8,254.3,148.8,225.7,252.4,418.9,496.3,544.8,585.9,638.9,717.8,827.4,1010.6,1323.3,10051.6,99834.4,100000
read,486.5,246.4,148.8,249.7,283.2,440.7,535.7,600.1,643.8,692.2,746.8,820.8,946.7,1413.8,9415.0,104910.6,105000
read,668.5,317.5,148.8,415.0,441.6,548.8,800.0,890.2,928.5,967.1,1005.7,1064.0,1164.8,2516.1,12555.2,97307.6,110000
