#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      377.0   367.4   173.5   245.8   269.9   355.1   385.1   400.4   413.4   429.2   451.3   489.4   608.8  6625.3 14133.3   5009.4     5000  1682870913931  1682870919330
read      397.4   257.8   173.5   229.6   249.9   386.1   436.2   461.6   479.0   499.0   524.4   562.3   671.0  3819.3 11301.5   9938.6    10000  1682870920835  1682870926164
read      408.4   268.3   173.5   221.6   239.8   391.8   464.2   497.9   520.7   545.7   577.6   623.5   722.9  2778.8 13186.7  14951.2    15000  1682870927668  1682870932950
read      423.4   284.3   160.7   221.8   240.5   396.2   481.1   523.4   551.6   583.6   622.0   677.2   802.0  2044.4 15474.2  19925.8    20000  1682870934453  1682870939739
read      422.3   249.2   160.7   218.0   236.1   387.4   472.8   522.6   557.4   596.9   641.4   703.1   834.7  2110.3  9969.3  24988.4    25000  1682870941243  1682870946533
read      437.2   233.1   160.7   219.9   239.6   404.5   486.1   536.7   574.6   618.9   670.1   737.0   870.8  1623.2  8094.4  29931.6    30000  1682870948037  1682870953340
read      436.7   217.4   160.7   218.6   237.3   409.1   485.8   534.2   572.1   617.8   672.3   742.9   885.5  1487.2  7392.3  35031.2    35000  1682870954844  1682870960122
read      431.4   216.0   160.7   216.5   233.5   405.4   479.6   525.7   561.8   607.5   664.5   736.9   868.2  1483.2  7953.5  40007.0    40000  1682870961625  1682870966908
read      440.9   240.4   160.7   216.0   234.3   413.8   494.9   542.2   579.5   625.0   681.6   758.1   908.4  1612.1  8751.3  44958.6    45000  1682870968412  1682870973694
read      426.6   212.6   160.7   213.8   230.5   399.6   478.3   526.0   562.0   605.4   661.2   739.3   879.2  1238.5  6973.4  50053.0    50000  1682870975198  1682870980485
read      420.9   237.9   160.7   213.6   229.6   388.6   469.2   518.1   554.6   599.0   657.9   739.3   891.3  1204.0  8744.8  54977.8    55000  1682870981989  1682870987268
read      418.4   206.0   160.7   215.3   231.5   386.9   466.7   513.5   548.8   592.4   649.7   731.3   876.8  1235.8  7625.5  59927.0    60000  1682870988772  1682870994072
read      424.0   224.8   160.7   215.6   233.1   394.1   473.8   521.3   555.7   597.2   652.4   734.2   895.3  1336.5  6865.5  65048.4    65000  1682870995578  1682871000856
read      428.5   197.6   160.7   219.0   236.9   399.3   479.7   526.3   560.7   602.3   656.8   737.5   903.1  1307.1  5810.1  69889.8    70000  1682871002360  1682871007642
read      421.0   212.3   160.7   218.7   236.3   391.3   467.2   512.6   546.1   586.5   638.2   719.5   887.0  1505.2  7483.8  74939.2    75000  1682871009146  1682871014431
read      432.2   222.5   160.7   224.0   245.5   402.8   477.2   523.3   557.4   598.9   652.5   732.4   894.4  1173.8  8282.7  80031.0    80000  1682871015935  1682871021213
read      441.3   254.1   160.7   227.5   251.8   410.9   485.9   532.6   567.7   609.1   662.6   739.0   903.6  1170.6 10518.4  84764.2    85000  1682871022716  1682871027997
read      728.8   362.3   173.5   433.5   466.9   612.2   834.2   954.6  1008.3  1059.2  1112.2  1177.9  1291.6  3235.5 12898.1  86738.8    90000  1682871029501  1682871034772
read      736.8   387.7   160.7   440.2   474.6   619.5   835.2   960.8  1019.1  1073.7  1132.2  1199.2  1319.6  2531.2 16000.3  87854.8    95000  1682871036276  1682871041553
read      742.5   401.9   173.5   447.8   480.9   618.5   846.4   975.9  1032.3  1082.0  1137.5  1203.8  1331.7  2895.1 16131.4  87915.2   100000  1682871043058  1682871048352
read      759.4   394.2   173.5   466.4   497.2   631.0   833.9   999.7  1057.7  1110.9  1164.3  1238.2  1369.2  3767.6 15178.1  86433.2   105000  1682871049856  1682871055145
read      734.5   403.5   173.5   445.9   476.7   608.5   843.6   968.2  1019.5  1066.0  1117.9  1184.9  1330.0  3833.0 14539.4  89303.4   110000  1682871056648  1682871061926
read      735.1   405.4   173.5   448.5   478.2   607.5   845.1   973.4  1025.4  1071.1  1122.7  1184.6  1306.4  3868.9 16040.1  89255.6   115000  1682871063429  1682871068709
read      744.4   396.3   173.5   455.1   486.4   620.2   817.4   977.9  1037.0  1087.7  1144.1  1214.9  1352.1  3160.0 15465.3  88028.3   120000  1682871070213  1682871075489
read      729.5   382.9   160.7   444.0   474.1   604.4   836.1   962.9  1013.7  1063.3  1116.8  1182.7  1310.7  3611.1 14350.6  89841.2   125000  1682871076993  1682871082281
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 71.35%,4.00%,100.00%
