#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      396.8   284.1   173.5   250.7   275.7   375.9   410.5   429.7   444.0   462.1   487.4   533.0   717.8  5323.7  8523.0   4925.6     5000  1682870692462  1682870697852
read      415.3   325.6   173.5   229.6   251.3   402.9   453.4   478.2   495.7   515.4   543.1   589.2   757.8  4178.4 15817.5  10009.7    10000  1682870699359  1682870704688
read      420.1   263.9   160.7   224.3   244.3   405.3   476.9   510.6   534.1   559.9   591.1   639.3   768.5  3587.6  9219.7  15114.4    15000  1682870706192  1682870711501
read      425.0   263.2   173.5   221.0   240.2   397.1   483.6   526.6   554.9   586.8   625.4   680.0   804.7  2503.7 12088.0  20114.2    20000  1682870713007  1682870718313
read      432.8   226.7   160.7   220.4   240.7   400.4   485.1   532.8   566.8   605.8   653.2   720.1   885.6  2427.0  8001.3  24914.8    25000  1682870719817  1682870725120
read      436.7   268.1   160.7   220.0   238.8   400.7   485.4   536.7   574.8   618.7   669.4   739.0   898.9  2805.5 10009.9  29920.4    30000  1682870726625  1682870731944
read      430.4   237.2   160.7   217.5   235.4   397.1   471.9   521.7   560.9   609.3   665.1   737.1   875.1  3423.9  8476.6  34963.4    35000  1682870733449  1682870738725
read      447.5   259.7   160.7   220.9   239.8   419.7   499.3   547.0   585.1   630.6   686.1   762.4   916.2  1674.4 10030.1  39977.0    40000  1682870740228  1682870745517
read      429.4   235.7   160.7   215.9   232.6   399.2   477.3   525.4   561.6   607.6   666.1   743.1   890.0  1537.7  9986.7  44908.2    45000  1682870747021  1682870752296
read      431.6   207.5   148.8   216.3   232.8   403.8   485.7   534.3   571.2   615.4   671.5   747.7   901.6  1374.6  6562.2  50090.6    50000  1682870753800  1682870759085
read      420.8   202.7   160.7   214.5   230.7   393.7   470.4   517.2   552.3   594.8   651.3   731.2   882.9  1187.4  7727.2  54933.2    55000  1682870760589  1682870765889
read      430.4   236.1   160.7   217.7   234.4   392.8   474.8   523.3   559.5   603.8   663.3   752.2   997.7  2318.0  8467.9  59961.2    60000  1682870767393  1682870772673
read      430.3   217.9   160.7   218.6   235.7   398.5   481.2   529.2   564.9   608.6   665.6   748.3   916.1  1245.3  6896.5  64838.3    65000  1682870774177  1682870779452
read      440.6   241.4   160.7   222.1   241.9   408.6   490.3   539.4   576.3   620.2   675.3   755.5   926.6  1541.4  9826.3  69866.2    70000  1682870780956  1682870786264
read      417.6   229.8   160.7   216.7   234.2   386.0   462.1   507.7   542.0   582.9   634.6   716.0   883.4  1529.4  9050.4  75040.6    75000  1682870787767  1682870793043
read      438.8   232.2   160.7   223.8   246.3   408.6   487.1   533.8   568.7   611.0   664.2   739.9   914.5  1303.0  7767.2  79782.8    80000  1682870794551  1682870799836
read      493.4   279.5   160.7   241.8   274.4   456.9   540.6   591.3   631.1   680.2   746.5   863.0  1080.2  1644.4 10703.0  84902.8    85000  1682870801342  1682870806616
read      532.9   286.2   160.7   256.3   295.3   485.7   579.5   644.5   697.8   762.7   842.8   942.3  1095.3  1684.0 11206.1  89900.2    90000  1682870808120  1682870813407
read      728.6   365.7   173.5   426.6   459.4   611.6   874.2   957.0   999.2  1043.8  1090.4  1162.5  1284.7  3186.0 15027.4  88472.2    95000  1682870814911  1682870820188
read      741.2   350.7   173.5   438.3   471.4   625.8   880.5   970.9  1017.8  1065.1  1117.7  1185.6  1325.7  2265.3 12632.6  87984.9   100000  1682870821692  1682870826976
read      758.6   389.1   187.4   457.1   490.2   630.6   876.1  1002.2  1053.6  1100.8  1155.0  1227.0  1361.6  3636.5 15475.4  86251.6   105000  1682870828481  1682870833754
read      752.9   391.8   160.7   455.0   486.5   625.5   874.3   992.2  1045.1  1093.3  1148.8  1220.3  1355.2  3124.7 15364.8  87035.4   110000  1682870835258  1682870840550
read      744.7   406.9   173.5   449.4   481.9   618.3   854.9   979.6  1033.1  1082.3  1138.1  1206.4  1342.3  3457.5 16784.7  88047.6   115000  1682870842053  1682870847333
read      735.3   378.0   173.5   444.9   476.1   610.5   847.0   969.4  1021.0  1068.6  1122.0  1187.2  1328.3  3648.0 14503.4  89072.0   120000  1682870848837  1682870854120
read      726.7   329.2   160.7   440.2   470.2   607.4   857.2   959.4  1006.2  1055.2  1107.0  1177.2  1302.8  1990.1 11723.2  89858.4   125000  1682870855624  1682870860908
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 76.24%,13.50%,100.00%
