#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      371.5   339.1   173.5   242.7   265.8   349.6   379.4   396.4   408.3   424.4   444.0   480.3   613.1  5680.4 12823.6   4963.6     5000  1682871151357  1682871156693
read      397.9   292.5   173.5   226.5   246.5   385.0   438.2   462.4   479.4   499.6   525.0   562.4   679.4  4037.0  9992.1  10121.6    10000  1682871158197  1682871163529
read      405.2   249.2   160.7   220.7   239.3   388.8   461.7   495.0   516.9   541.1   573.1   619.0   723.7  2306.7  9334.2  14906.0    15000  1682871165031  1682871170325
read      418.1   237.0   160.7   220.1   238.4   388.9   475.3   517.9   546.2   579.8   620.1   675.1   795.8  2689.0  8477.8  19919.6    20000  1682871171827  1682871177122
read      433.8   247.1   160.7   223.4   243.9   399.8   483.1   532.6   567.8   607.6   654.3   717.7   848.6  2730.2  9988.7  24872.8    25000  1682871178625  1682871183921
read      429.2   243.4   160.7   220.2   238.5   394.1   474.7   526.3   563.6   607.9   660.7   730.1   863.4  1976.8  9090.0  30032.8    30000  1682871185425  1682871190712
read      438.5   259.6   160.7   218.9   237.5   410.0   486.9   535.5   573.6   619.1   673.4   742.8   880.0  1426.0 12293.5  35010.2    35000  1682871192218  1682871197495
read      440.9   219.0   160.7   218.2   236.6   417.2   495.1   540.5   576.1   619.6   674.4   745.9   893.7  1478.0  8141.4  39959.2    40000  1682871198998  1682871204291
read      433.9   237.7   160.7   217.2   234.1   407.7   486.5   533.0   568.6   612.1   667.5   743.8   893.5  1323.1  8462.2  45039.0    45000  1682871205794  1682871211080
read      431.2   212.9   160.7   215.9   232.2   403.5   485.9   533.2   568.4   611.2   666.1   744.0   896.0  1668.4  6999.9  49843.4    50000  1682871212583  1682871217857
read      421.7   237.3   160.7   213.3   228.9   391.3   471.1   518.7   554.6   599.5   657.0   736.6   891.8  1556.4  6948.6  55025.4    55000  1682871219360  1682871224633
read      421.0   237.7   160.7   212.9   228.8   387.7   469.2   516.6   552.4   597.5   656.6   741.9   907.2  1359.6  9629.5  59851.8    60000  1682871226136  1682871231420
read      431.0   253.2   160.7   215.1   232.5   397.2   480.1   529.3   566.4   611.1   667.8   748.7   923.7  1387.1 10238.0  64910.0    65000  1682871232924  1682871238203
read      428.7   249.2   160.7   216.8   234.3   396.6   479.2   527.7   563.5   605.8   659.8   739.4   890.8  1447.4  9733.2  69794.4    70000  1682871239707  1682871244991
read      416.4   239.5   160.7   215.5   232.6   384.5   460.4   506.0   540.8   582.8   635.7   716.2   873.0  1251.6 10221.8  74904.2    75000  1682871246494  1682871251776
read      430.9   243.6   160.7   221.5   241.8   400.6   476.4   522.6   556.5   597.7   649.7   728.2   895.5  1318.1  8882.9  79893.4    80000  1682871253280  1682871258570
read      456.5   219.0   160.7   230.1   256.9   424.8   503.1   550.6   588.1   632.7   688.7   783.9   978.1  1279.1  8193.7  85162.3    85000  1682871260074  1682871265348
read      524.9   327.3   160.7   246.7   283.5   473.6   563.6   629.0   685.9   759.3   849.0   955.2  1122.1  1641.1 12467.9  89579.8    90000  1682871266851  1682871272148
read      707.3   368.9   160.7   413.6   446.3   595.3   821.6   915.5   966.9  1017.7  1075.6  1150.7  1271.1  3115.9 14248.8  90240.0    95000  1682871273651  1682871278926
read      739.8   383.0   160.7   454.3   485.0   611.5   822.1   981.0  1038.7  1087.5  1139.6  1198.3  1327.2  3580.9 13773.2  88126.6   100000  1682871280429  1682871285715
read      743.7   384.1   173.5   450.4   481.9   619.7   835.1   976.5  1032.5  1083.8  1142.5  1216.3  1348.5  3784.6 15182.4  88104.2   105000  1682871287217  1682871292486
read      770.6   428.9   173.5   484.1   515.5   631.1   779.0  1029.3  1088.4  1138.1  1185.3  1251.4  1367.0  4508.2 16724.1  85445.7   110000  1682871293989  1682871299260
read      736.7   396.0   173.5   446.5   478.1   609.2   850.1   974.0  1027.9  1073.6  1124.4  1182.5  1292.9  3819.4 16727.9  89012.6   115000  1682871300763  1682871306038
read      764.4   407.3   160.7   471.4   501.4   632.3   826.2  1008.1  1066.9  1121.3  1174.1  1247.5  1375.6  4419.6 14210.5  85909.2   120000  1682871307542  1682871312830
read      727.5   418.7   173.5   442.0   472.8   600.2   826.3   959.3  1010.3  1057.8  1106.4  1173.7  1291.1  4387.5 15998.6  90368.6   125000  1682871314334  1682871319617
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.85%,2.02%,100.00%
