#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      371.4   291.7   173.5   241.5   263.3   352.3   385.2   402.5   416.5   431.3   452.1   482.8   589.7  5365.5 11229.9   4939.0     5000  1682878361029  1682878366404
read      403.7   267.7   160.7   226.8   246.4   393.1   448.0   473.9   492.6   511.9   538.8   581.3   690.6  3640.0 11669.9   9958.6    10000  1682878367908  1682878373246
read      418.5   236.6   160.7   221.0   240.7   403.0   476.6   513.2   538.1   566.0   597.8   643.7   757.7  3275.3  9221.3  14966.7    15000  1682878374749  1682878380045
read      425.3   254.5   160.7   217.2   235.4   397.1   482.7   529.2   561.1   596.9   635.9   690.8   817.5  2834.9 12288.1  19936.4    20000  1682878381548  1682878386853
read      445.2   254.6   160.7   214.6   230.3   405.4   496.5   549.0   590.3   636.1   697.9   810.6  1078.1  2459.1  8373.5  24961.6    25000  1682878388356  1682878393647
read      454.8   287.7   160.7   212.7   227.8   405.9   504.5   565.2   610.9   664.1   734.9   857.9  1163.2  2667.6  9619.4  30011.0    30000  1682878395150  1682878400441
read      451.9   309.0   160.7   210.0   223.7   382.7   493.5   555.2   605.1   669.7   763.6   951.6  1339.5  1918.3  8099.0  34799.8    35000  1682878401946  1682878407225
read      460.5   315.7   160.7   210.8   225.3   390.1   507.8   577.3   630.8   695.3   781.4   931.1  1333.1  1804.6 11324.8  40024.2    40000  1682878408729  1682878414030
read      452.2   284.1   160.7   211.0   225.8   383.3   501.8   574.4   628.6   689.3   767.0   891.6  1214.9  1788.3  8741.1  44907.0    45000  1682878415534  1682878420811
read      434.3   273.0   160.7   210.4   224.5   366.8   473.8   541.9   596.7   661.4   735.9   851.7  1184.9  1665.0  7638.5  49965.4    50000  1682878422315  1682878427620
read      435.2   330.1   160.7   207.1   220.0   337.9   452.9   526.2   585.2   660.9   763.2   958.2  1436.5  2007.2 11040.1  54888.6    55000  1682878429124  1682878434399
read      430.8   291.6   160.7   207.3   221.2   343.0   446.8   515.7   573.0   648.0   748.2   929.2  1418.5  2029.7  7529.6  60071.6    60000  1682878435903  1682878441190
read      431.1   305.1   160.7   207.4   220.8   331.5   431.2   500.1   557.7   638.2   759.4   999.5  1565.8  2161.0  6872.2  64866.2    65000  1682878442693  1682878447990
read      423.8   284.9   160.7   207.9   221.5   333.1   425.8   493.4   551.9   635.2   746.7   946.6  1428.7  2076.6  7041.1  70191.4    70000  1682878449493  1682878454778
read      436.5   325.9   160.7   210.9   225.7   340.6   429.9   498.1   560.7   651.3   774.8  1006.0  1482.7  2147.7 10668.8  74818.7    75000  1682878456281  1682878461555
read      448.4   348.1   160.7   213.8   228.9   344.4   431.0   498.3   562.2   658.4   803.0  1064.2  1619.4  2903.6  9684.5  79963.4    80000  1682878463059  1682878468345
read      566.2   522.4   160.7   228.1   249.3   367.9   479.5   622.2   765.6   986.6  1219.3  1587.3  2296.3  3659.6 12743.8  84675.4    85000  1682878469848  1682878475123
read      706.9   705.4   160.7   270.0   291.6   372.4   493.1  1076.6  1392.6  1504.4  1626.5  1780.6  2682.7  5474.1 20103.6  88583.2    90000  1682878476625  1682878481909
read      696.2   648.8   160.7   267.5   288.2   364.6   469.7  1122.3  1405.4  1508.4  1616.8  1754.4  2637.1  4207.0 15368.8  91966.8    95000  1682878483412  1682878488688
read      734.2   949.9   160.7   282.2   301.3   373.3   458.6  1190.8  1421.8  1522.4  1630.1  1765.5  2703.2 12211.2 31184.2  89834.0   100000  1682878490190  1682878495472
read      718.9   939.1   160.7   278.9   297.7   366.4   436.6  1090.2  1408.8  1506.5  1614.9  1747.8  2688.8 12448.9 31244.8  91672.3   105000  1682878496975  1682878502252
read      730.2   985.6   148.8   280.4   299.7   371.0   456.0  1177.2  1418.7  1517.9  1626.1  1752.5  2658.2 12961.5 31582.0  90593.6   110000  1682878503755  1682878509056
read      739.0  1124.4   160.7   281.7   301.1   371.7   448.0   986.0  1394.9  1501.8  1621.9  1764.3  2729.0 14262.3 32242.2  89985.6   115000  1682878510559  1682878515839
read      719.1   917.1   160.7   277.7   295.8   366.2   444.2  1060.7  1404.1  1507.2  1618.1  1764.8  2709.4 10987.7 31169.3  91740.0   120000  1682878517342  1682878522619
read      726.8   936.9   173.5   278.0   296.5   371.7   461.1  1124.1  1413.3  1513.3  1623.9  1765.1  2708.0 12396.2 31041.6  90772.0   125000  1682878524127  1682878529398
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.13%,8.59%,100.00%
