#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      373.4   386.9   173.5   247.1   270.2   345.6   375.6   394.6   407.4   425.3   446.9   478.7   593.0  7401.3 13177.5   4986.8     5000  1682873588898  1682873594281
read      383.7   293.5   173.5   230.0   251.2   370.0   414.8   436.2   452.1   468.3   491.9   526.8   616.9  5287.6 10529.5   9977.6    10000  1682873595786  1682873601107
read      390.9   213.4   173.5   222.6   241.1   381.8   443.2   469.3   487.7   506.6   532.8   571.1   662.8  2287.2  8108.9  15003.8    15000  1682873602611  1682873607904
read      392.1   229.1   160.7   216.2   232.3   370.6   448.7   481.1   501.4   524.8   550.2   590.9   698.4  2765.4  8576.2  19972.6    20000  1682873609407  1682873614690
read      390.7   277.7   160.7   212.8   228.5   361.1   444.9   483.5   507.6   534.4   565.5   609.7   716.2  2739.7 12449.7  24872.4    25000  1682873616193  1682873621482
read      382.6   227.0   160.7   211.1   226.4   353.4   435.1   478.5   504.9   533.1   565.5   609.8   692.7  1260.6  8422.9  30155.6    30000  1682873622987  1682873628283
read      377.8   196.8   160.7   209.4   223.9   345.1   422.9   469.0   498.4   529.3   564.5   613.8   715.2  2109.6  8067.3  34953.4    35000  1682873629786  1682873635070
read      373.3   168.0   160.7   208.7   222.8   339.6   413.1   460.5   493.7   529.4   570.0   624.3   733.2  1273.7  5540.2  39960.8    40000  1682873636573  1682873641882
read      374.0   189.6   160.7   209.9   223.7   341.6   413.9   458.8   490.7   526.0   567.1   621.9   727.7  1388.2  7806.2  44834.8    45000  1682873643385  1682873648654
read      376.1   198.5   160.7   210.4   225.0   342.3   412.7   457.1   489.7   526.9   570.6   627.2   732.8  2343.7  7723.0  49945.8    50000  1682873650157  1682873655437
read      366.2   181.2   160.7   209.5   223.4   333.1   399.7   442.1   474.7   513.6   557.8   614.7   717.0  1604.9  6710.9  55100.4    55000  1682873656940  1682873662232
read      359.8   175.6   160.7   209.8   224.0   324.1   388.5   430.4   463.7   503.4   549.2   608.5   719.2  1422.8  5530.9  60123.4    60000  1682873663735  1682873669021
read      353.0   177.3   160.7   208.7   222.3   316.3   378.0   419.0   452.1   492.2   539.9   599.0   707.9  1409.7  7016.6  65033.2    65000  1682873670525  1682873675807
read      342.7   172.4   160.7   205.0   216.9   304.9   365.7   405.1   438.1   479.3   527.9   588.0   693.7  1461.9  6297.8  70047.4    70000  1682873677310  1682873682592
read      339.8   191.3   148.8   205.4   217.7   305.2   361.7   397.6   427.0   464.6   513.3   577.2   684.1  1348.3  8914.6  74816.5    75000  1682873684095  1682873689390
read      334.9   186.9   160.7   205.0   216.9   300.0   355.7   391.3   419.6   455.6   502.3   566.4   681.3  1349.2  8198.3  79819.5    80000  1682873690893  1682873696178
read      331.3   136.8   160.7   205.4   217.2   300.1   353.7   387.6   414.0   448.8   495.0   558.0   666.9  1143.8  3944.0  85152.8    85000  1682873697682  1682873702958
read      326.3   189.7   148.8   204.9   216.2   296.1   346.9   378.3   402.3   433.4   476.2   539.0   639.5  1139.0  8861.1  89784.4    90000  1682873704461  1682873709740
read      331.3   167.6   160.7   206.7   219.3   301.1   353.0   384.6   408.5   439.5   482.3   544.1   660.5  1630.8  5201.4  94941.6    95000  1682873711242  1682873716519
read      335.9   221.1   148.8   207.2   220.3   308.5   360.3   390.5   413.3   441.8   480.7   540.1   658.4  1486.4 12291.8 100004.8   100000  1682873718022  1682873723306
read      322.2   139.0   160.7   205.8   218.1   297.8   345.2   373.0   394.7   421.6   457.9   514.0   624.1   913.3  5583.5 105004.8   105000  1682873724809  1682873730086
read      334.6   147.7   160.7   209.5   223.1   313.1   362.4   390.3   410.6   435.6   469.3   523.4   636.1  1131.8  5829.5 110144.2   110000  1682873731590  1682873736863
read      325.5   174.5   148.8   208.5   221.4   303.7   348.8   374.7   395.1   419.5   451.9   502.1   610.1  1157.6  8609.0 115154.4   115000  1682873738367  1682873743654
read      327.1   161.6   148.8   208.6   222.1   308.2   352.5   377.6   396.8   420.5   451.8   500.2   608.5  1011.5  6395.1 119931.4   120000  1682873745158  1682873750428
read      337.1   152.9   160.7   209.6   223.1   313.0   361.4   390.7   413.2   441.7   480.4   542.2   674.6   965.1  5401.9 124710.0   125000  1682873751931  1682873757205
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.75%,1.01%,100.00%
