#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      369.8   335.0   173.5   249.6   271.9   348.7   374.8   390.6   400.4   415.3   434.0   469.1   589.1  7402.8 10686.3   4943.4     5000  1682874007750  1682874013148
read      381.2   286.8   173.5   231.0   251.6   370.9   412.8   433.0   447.7   463.2   484.1   514.7   609.7  4047.5 12589.9  10087.8    10000  1682874014653  1682874020000
read      383.8   246.1   160.7   221.1   239.3   375.2   430.0   455.3   471.1   491.1   512.6   547.2   632.1  3755.3 10619.8  15105.6    15000  1682874021504  1682874026821
read      389.9   252.6   160.7   217.7   234.9   373.3   441.8   472.2   492.1   512.7   539.6   579.4   677.2  3270.4 10080.5  19904.4    20000  1682874028324  1682874033631
read      385.6   214.3   160.7   214.2   229.7   362.6   439.8   476.4   499.4   524.9   553.3   595.1   691.2  1641.1  8683.0  24988.6    25000  1682874035134  1682874040444
read      381.1   241.6   160.7   211.3   226.5   350.9   428.3   471.1   498.6   527.5   559.3   601.2   692.0  2672.0 12371.0  29972.2    30000  1682874041948  1682874047254
read      379.2   237.9   160.7   211.1   226.1   349.5   423.3   466.3   494.9   525.9   561.3   609.1   692.9  1934.3 10460.2  34989.6    35000  1682874048757  1682874054070
read      376.1   193.4   160.7   210.4   225.0   345.4   418.3   462.9   494.6   528.7   566.4   615.7   717.5  1252.0  7843.4  39924.8    40000  1682874055573  1682874060866
read      376.7   182.3   160.7   210.8   225.5   347.2   417.2   459.7   491.3   527.0   567.5   620.8   723.8  1335.7  7622.3  45143.6    45000  1682874062369  1682874067663
read      372.0   179.2   160.7   210.3   224.3   340.9   410.8   454.1   485.8   522.1   564.3   620.2   726.2  1292.8  4750.5  49985.6    50000  1682874069166  1682874074465
read      362.8   163.8   160.7   209.3   223.3   332.6   396.9   436.5   467.9   505.7   548.0   603.8   706.6  1273.8  4462.7  54885.2    55000  1682874075969  1682874081281
read      358.7   182.7   160.7   208.6   222.0   323.4   390.1   431.3   463.2   500.3   544.1   600.2   709.0  1618.8  7889.2  60094.2    60000  1682874082784  1682874088083
read      348.6   174.4   160.7   206.9   219.7   313.5   373.0   412.7   445.4   485.6   532.9   590.9   691.9  1446.3  6656.0  64692.4    65000  1682874089586  1682874094877
read      349.5   209.3   148.8   206.4   219.3   312.3   374.7   415.1   446.8   485.9   533.6   593.0   703.9  1487.3  7453.4  69781.4    70000  1682874096380  1682874101672
read      342.5   202.5   160.7   205.9   218.7   309.1   367.3   403.1   432.4   468.9   516.1   577.2   679.8  1080.9  8468.8  74911.8    75000  1682874103175  1682874108466
read      339.7   185.4   160.7   205.8   218.7   308.1   365.0   398.9   425.9   459.9   504.0   566.2   680.0  1502.5  6976.6  80034.0    80000  1682874109969  1682874115259
read      325.8   147.1   160.7   204.0   215.0   293.5   344.7   377.7   403.7   438.7   486.6   549.9   660.3  1296.9  4178.7  84796.9    85000  1682874116762  1682874122046
read      333.5   171.3   148.8   206.1   218.7   304.7   357.7   389.6   413.6   443.5   485.5   546.1   661.6  1385.2  6476.8  89939.2    90000  1682874123549  1682874128849
read      327.2   148.7   148.8   206.3   218.3   298.7   349.5   380.5   403.7   434.0   474.2   535.5   644.0  1256.1  5860.0  94976.8    95000  1682874130352  1682874135640
read      325.9   155.8   160.7   206.5   218.8   300.3   349.0   378.1   399.8   427.8   464.9   523.2   629.5  1404.3  5660.2 100002.0   100000  1682874137143  1682874142437
read      331.9   170.0   160.7   207.9   221.0   308.9   358.8   387.5   408.2   434.3   468.8   523.1   632.8  1321.1  7253.7 105110.4   105000  1682874143939  1682874149234
read      324.0   155.7   160.7   207.8   220.7   301.9   347.4   374.0   394.5   419.4   453.2   504.7   612.5  1065.8  5817.2 109970.8   110000  1682874150736  1682874156035
read      319.9   137.0   160.7   207.3   220.0   299.5   343.4   369.1   388.7   411.9   443.9   495.7   594.5   939.6  5069.1 114840.5   115000  1682874157538  1682874162824
read      340.8   162.1   160.7   212.0   226.1   321.0   369.0   396.1   416.8   441.5   473.8   529.2   650.0   911.5  7716.4 119841.0   120000  1682874164328  1682874169613
read      332.7   136.4   148.8   209.8   223.4   313.1   358.7   385.1   404.1   429.8   463.7   517.4   636.7   983.8  4976.5 124833.4   125000  1682874171116  1682874176404
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 83.42%,33.67%,100.00%
