#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      367.9   370.2   173.5   246.0   267.7   345.1   371.4   386.6   396.7   408.9   428.1   459.4   556.0  6386.6 12763.4   4955.8     5000  1682873795136  1682873800495
read      386.3   353.5   173.5   232.2   253.3   373.4   413.3   432.9   447.0   462.2   481.7   509.1   591.6  6849.1 15868.8   9998.4    10000  1682873801999  1682873807356
read      389.3   303.5   173.5   221.4   241.0   381.7   438.2   462.4   478.6   496.7   518.2   548.4   628.5  3214.9 16138.8  14872.2    15000  1682873808860  1682873814166
read      387.3   254.2   160.7   215.6   232.9   372.1   440.5   470.7   489.9   509.1   535.0   572.7   671.8  2640.8 11519.0  19961.8    20000  1682873815669  1682873820952
read      384.1   231.9   160.7   213.9   229.6   360.5   437.1   473.3   496.9   521.5   547.6   587.5   688.6  2156.4 10764.4  25012.0    25000  1682873822456  1682873827745
read      380.3   188.5   160.7   211.5   226.4   352.0   430.7   472.6   498.6   525.9   556.0   600.6   699.9  2246.0  7636.5  30003.5    30000  1682873829248  1682873834525
read      381.8   226.0   160.7   211.6   226.7   353.3   427.0   469.6   497.9   527.7   561.2   608.4   701.2  2498.0 10556.2  35042.4    35000  1682873836029  1682873841320
read      380.6   212.4   160.7   211.7   227.0   352.7   424.3   466.5   496.6   528.4   564.4   615.6   722.5  1345.9  9498.1  39951.4    40000  1682873842825  1682873848120
read      369.7   217.1   160.7   209.8   223.6   337.1   405.4   449.4   480.9   515.6   554.5   606.1   711.5  2094.1  7838.9  44972.0    45000  1682873849624  1682873854929
read      367.6   219.2   160.7   209.7   223.3   334.8   400.1   441.8   473.6   509.9   552.0   607.2   715.0  1787.1 10799.9  49999.2    50000  1682873856432  1682873861713
read      357.9   206.5   160.7   207.4   220.5   323.3   387.3   428.2   460.8   500.0   545.2   599.2   701.7  1443.1  9439.6  54920.6    55000  1682873863216  1682873868499
read      357.1   205.7   160.7   207.2   220.4   320.2   385.1   426.1   458.6   497.7   542.8   600.0   706.0  2185.4  9024.8  59993.8    60000  1682873870001  1682873875313
read      348.2   169.7   160.7   206.7   219.7   315.0   374.3   412.8   443.5   482.8   529.8   585.4   692.2  1352.9  5787.0  65059.4    65000  1682873876817  1682873882117
read      338.2   200.3   148.8   204.7   216.3   302.1   359.2   396.2   427.0   465.8   514.0   574.8   679.2  1654.5  8187.9  70055.6    70000  1682873883621  1682873888901
read      343.2   190.9   160.7   205.5   218.0   308.3   367.2   403.1   431.8   467.8   513.9   574.3   688.0  1901.3  6263.3  74795.8    75000  1682873890405  1682873895676
read      338.6   172.8   160.7   205.1   217.6   306.1   362.7   397.8   425.6   460.5   505.4   568.1   677.9  1376.9  7253.7  80122.8    80000  1682873897179  1682873902463
read      327.9   155.5   148.8   203.9   215.0   295.9   347.6   380.6   405.7   439.7   485.9   549.1   665.0  1474.8  5028.0  84789.2    85000  1682873903965  1682873909248
read      330.8   169.7   160.7   205.2   217.1   301.0   353.5   385.2   408.9   439.9   483.6   547.3   661.7  1312.0  7586.9  89983.2    90000  1682873910751  1682873916033
read      331.8   166.4   160.7   206.4   219.1   304.8   356.9   387.4   410.0   438.3   477.9   538.1   647.5  1297.7  7499.5  94922.7    95000  1682873917536  1682873922819
read      322.2   164.0   148.8   205.8   217.5   296.2   344.1   372.1   394.0   421.4   459.5   517.7   629.1  1093.2  6300.9 100017.9   100000  1682873924322  1682873929602
read      323.4   151.9   160.7   204.9   216.8   298.1   345.9   373.8   395.7   423.0   459.8   516.7   630.2  1402.6  6738.1 104785.0   105000  1682873931106  1682873936398
read      312.8   148.2   160.7   205.1   216.3   289.5   333.1   359.1   378.4   402.7   437.1   492.8   592.6   976.2  5666.0 109996.6   110000  1682873937901  1682873943184
read      319.7   150.3   160.7   207.0   219.8   299.1   343.4   369.0   388.4   411.2   442.9   493.6   591.0   942.8  5919.5 115127.0   115000  1682873944687  1682873949973
read      338.8   166.7   160.7   211.6   225.4   317.8   365.0   392.4   412.7   436.8   469.7   524.1   657.7  1257.2  6991.5 119711.0   120000  1682873951477  1682873956753
read      314.9   137.1   160.7   207.6   220.1   296.2   336.8   360.4   377.5   399.5   429.7   477.9   582.5  1015.0  5273.0 125194.2   125000  1682873958256  1682873963544
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 74.40%,9.60%,100.00%
