type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,482.2,593.5,160.7,213.0,229.1,411.1,539.4,597.6,633.2,673.8,722.1,796.4,1126.9,5916.0,28423.4,30133.2,30000
read,461.8,515.4,160.7,213.4,228.8,390.4,506.0,569.5,611.5,656.0,707.4,781.5,1003.1,5997.7,26909.6,34943.7,35000
read,468.2,554.5,160.7,213.4,229.5,402.9,506.6,569.5,613.9,662.9,718.5,797.7,1068.6,6883.0,29608.4,39817.0,40000
read,480.6,613.7,160.7,216.3,233.7,412.6,510.4,571.1,615.1,666.7,728.2,814.6,1081.0,8050.5,30598.1,45188.0,45000
read,475.6,543.9,160.7,216.0,233.2,414.6,509.5,566.3,608.5,658.2,720.1,807.8,1120.6,6188.0,28713.7,50102.4,50000
read,451.9,453.5,160.7,213.8,229.7,390.9,485.1,541.2,582.9,634.5,701.0,797.8,1011.7,5940.2,15882.9,54999.4,55000
read,451.5,426.4,160.7,215.8,232.3,397.5,490.4,543.0,582.3,629.4,692.0,787.3,999.6,5395.9,14703.3,59945.0,60000
read,451.4,583.2,160.7,212.1,228.1,381.6,469.3,524.3,565.3,615.2,681.5,785.1,1039.1,7077.6,30349.3,64943.6,65000
read,440.9,490.0,160.7,214.5,231.2,386.4,470.4,520.9,558.9,607.6,673.3,777.7,992.5,5324.6,28854.0,69914.2,70000
read,449.8,516.2,160.7,214.2,231.9,392.4,475.4,526.1,564.2,612.9,679.3,785.5,1033.4,5956.7,28098.6,75039.4,75000
read,466.1,513.4,160.7,222.6,242.9,409.5,491.5,540.6,579.1,628.3,695.4,806.0,1072.1,6422.9,28161.9,79759.6,80000
read,455.4,430.8,160.7,221.1,241.1,404.1,484.9,534.9,574.8,625.6,693.3,802.2,1038.6,5602.1,19536.7,85053.8,85000
read,520.5,454.1,160.7,238.4,270.8,465.3,553.9,616.1,665.6,726.8,805.3,922.5,1138.6,5458.2,18963.7,90078.7,90000
read,634.0,514.0,160.7,317.1,360.7,570.3,688.0,758.1,807.1,864.8,937.4,1044.8,1251.5,6972.5,23497.5,94308.2,95000
read,623.3,540.2,173.5,328.9,363.6,576.5,692.1,743.2,779.8,820.4,871.2,953.5,1162.4,7852.5,29981.1,99321.0,100000
read,592.1,358.5,173.5,318.4,351.5,553.1,670.2,722.9,757.6,798.7,853.0,931.7,1087.0,4934.1,10865.5,103064.9,105000
read,670.7,514.5,187.4,377.5,410.0,577.4,755.3,828.0,874.1,924.7,981.7,1056.1,1201.1,6675.8,21143.1,97210.2,110000
read,494.4,670.8,160.7,218.2,234.8,428.9,547.2,603.5,639.3,678.8,725.7,793.4,1168.5,6168.3,31746.6,30264.8,30000
read,475.9,537.6,160.7,219.3,236.2,416.9,521.7,580.4,620.7,665.2,717.1,789.4,1023.5,5894.7,28518.0,35159.2,35000
read,477.2,618.7,160.7,214.8,231.3,409.4,510.5,572.6,616.8,666.2,724.2,799.7,1069.2,7880.4,31200.1,40091.4,40000
read,478.0,735.0,160.7,216.0,232.1,404.1,507.6,567.8,612.2,664.6,727.1,811.6,1089.3,8149.4,30435.2,44949.3,45000
read,466.6,582.7,160.7,218.4,234.1,399.0,492.8,550.7,596.9,651.0,717.2,805.0,1060.8,5907.9,31666.9,49963.1,50000
read,450.3,529.6,160.7,213.4,229.3,385.5,477.1,534.2,577.9,631.2,698.1,792.2,1012.0,5798.1,30470.3,54921.0,55000
