type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,449.9,271.7,160.7,218.2,239.1,421.8,509.4,560.2,595.3,633.9,678.9,739.0,886.3,3085.2,9878.8,29970.8,30000
read,434.7,259.7,160.7,218.6,238.0,404.6,486.4,537.2,574.3,616.1,664.4,730.7,869.5,1722.9,10046.7,35086.6,35000
read,451.6,289.2,160.7,221.9,242.4,424.3,508.1,556.7,592.0,632.7,681.6,747.1,926.6,2283.7,12485.2,39901.0,40000
read,419.6,286.0,160.7,212.3,229.2,379.0,465.7,521.4,561.1,606.9,660.7,731.3,868.5,2678.5,8706.4,45030.4,45000
read,414.8,233.4,160.7,211.5,228.6,376.0,458.7,511.5,552.0,599.1,657.2,732.3,873.3,1419.7,8520.8,49793.6,50000
read,418.2,317.3,160.7,209.4,226.4,384.2,467.6,517.8,553.3,596.9,651.1,723.0,858.7,1935.6,11034.2,55140.8,55000
read,404.1,244.4,160.7,206.3,222.2,366.5,446.3,496.0,535.5,582.5,639.8,720.5,862.1,1611.6,8998.9,59846.0,60000
read,402.2,241.1,148.8,205.6,221.3,367.6,447.9,495.0,530.5,573.8,629.6,707.6,852.0,1728.9,8082.4,65014.2,65000
read,388.8,210.9,160.7,203.6,218.3,355.0,429.9,474.2,508.6,549.7,606.6,687.0,832.3,1346.5,7689.3,69909.0,70000
read,388.9,263.2,148.8,204.8,220.2,354.1,426.4,469.5,504.3,544.9,598.2,678.9,821.7,1770.2,7956.9,75256.6,75000
read,393.5,207.3,160.7,207.3,223.7,363.4,435.3,478.6,511.7,550.4,602.3,681.1,827.9,1278.2,7605.8,79923.6,80000
read,402.7,229.0,148.8,210.0,227.0,368.5,439.6,483.4,516.3,557.2,612.7,699.7,940.5,1603.8,8680.8,85008.4,85000
read,462.3,253.4,160.7,229.7,256.7,426.8,506.5,554.4,592.3,639.6,702.0,800.5,1059.0,1565.0,10727.0,89909.2,90000
read,491.6,251.0,160.7,245.3,278.4,453.6,541.2,597.9,640.7,689.2,748.8,838.9,996.8,1432.5,9815.6,95213.1,95000
read,641.0,301.1,160.7,360.2,403.2,564.2,727.7,813.5,863.6,913.9,967.7,1032.4,1153.6,2003.9,12502.4,97063.4,100000
read,681.0,320.4,187.4,404.7,436.5,589.0,800.3,875.8,917.1,960.3,1006.6,1071.5,1179.8,2062.2,12593.5,95432.8,105000
read,661.6,303.2,173.5,401.6,431.3,555.4,782.5,870.7,909.3,947.5,989.5,1044.4,1147.3,1654.5,12079.9,97708.0,110000
read,454.0,262.3,160.7,220.3,240.8,426.8,520.2,571.1,605.6,643.2,687.7,751.1,895.8,2503.8,10680.8,29913.8,30000
read,456.0,287.0,160.7,220.3,240.3,423.0,517.0,571.8,609.6,651.6,701.9,771.9,917.5,3631.6,10417.5,34796.4,35000
read,440.6,259.5,160.7,217.5,236.1,403.1,495.0,549.1,588.4,633.1,686.7,758.5,915.5,2774.2,9973.8,40086.6,40000
read,435.9,259.1,160.7,216.8,234.9,405.6,491.9,543.1,580.3,623.0,674.6,742.7,886.6,1981.5,11641.7,44865.9,45000
read,432.7,236.1,160.7,214.1,232.0,396.2,485.3,539.5,579.5,625.8,682.1,758.2,923.2,1969.7,8181.2,49870.8,50000
read,419.6,260.8,148.8,210.4,227.3,377.2,465.1,518.9,559.5,607.6,665.6,742.7,909.9,2504.6,10394.3,54966.1,55000
read,407.8,234.4,148.8,211.3,227.7,366.2,449.0,501.1,541.2,587.7,644.5,723.1,870.7,1501.5,7836.0,60046.2,60000
read,409.3,251.8,148.8,208.9,225.1,370.9,452.3,500.1,536.9,581.9,639.9,726.0,903.2,1666.5,9656.8,64710.2,65000
read,407.9,262.2,160.7,210.7,227.0,365.7,443.7,492.8,530.4,575.9,635.0,726.1,939.7,1885.9,10924.1,69999.6,70000
read,391.0,259.1,160.7,207.3,222.9,356.7,427.7,469.7,503.5,544.6,597.4,677.8,828.0,1802.6,8732.3,74873.2,75000
read,390.5,213.4,160.7,208.0,224.3,358.8,430.1,471.4,503.4,542.0,592.9,674.1,836.1,1493.3,8030.2,79976.4,80000
read,444.7,288.1,160.7,219.9,240.5,402.6,485.7,535.3,573.4,619.1,676.6,775.5,1204.1,1614.1,10502.9,84688.6,85000
read,386.0,211.1,160.7,211.2,227.7,358.7,421.6,459.6,489.4,526.7,577.1,656.5,799.6,1286.3,7818.0,89848.4,90000
read,448.2,273.0,160.7,227.7,253.8,414.5,490.3,536.9,573.6,617.6,673.6,759.0,934.4,2152.5,12067.7,95003.8,95000
read,615.4,306.2,160.7,310.7,367.0,538.4,711.4,792.7,839.2,885.8,935.3,1003.9,1168.5,2040.0,12174.0,97419.6,100000
read,669.8,315.5,160.7,389.8,424.0,580.6,781.6,856.3,899.5,941.8,991.4,1057.0,1180.1,2745.2,11666.0,96632.2,105000
read,674.4,326.0,173.5,392.6,428.8,581.3,793.7,869.4,910.4,951.8,997.5,1060.4,1173.0,2975.1,12496.0,96285.4,110000
read,453.2,302.2,160.7,217.8,237.1,418.8,518.2,571.1,606.2,643.2,689.4,753.2,930.5,2970.3,9886.9,29784.2,30000
read,462.3,301.7,160.7,217.1,236.4,426.0,529.7,584.7,622.6,664.5,714.2,786.0,944.4,3717.4,11441.1,35016.8,35000
read,443.6,267.8,160.7,214.1,232.3,404.8,505.1,560.9,600.4,645.1,694.7,767.2,927.1,2237.5,9058.4,39899.6,40000
read,433.7,262.9,160.7,214.8,232.5,397.8,485.8,539.7,578.7,623.8,678.1,749.3,913.6,2050.1,12112.0,44803.8,45000
read,431.9,287.7,160.7,215.4,233.3,389.8,481.2,535.8,575.6,621.6,677.8,754.5,939.9,2210.5,12272.7,50100.0,50000
read,431.5,313.8,160.7,212.9,230.3,384.9,474.2,532.1,574.0,621.7,678.3,761.4,958.7,3713.1,11192.6,54922.0,55000
read,410.2,248.0,148.8,208.0,224.6,371.5,454.5,505.9,543.6,588.3,642.7,722.0,876.4,1834.2,9457.2,60206.4,60000
read,403.8,261.7,148.8,207.4,223.5,365.4,444.1,493.7,530.8,575.1,632.3,713.2,866.4,1884.9,12054.1,65021.4,65000
read,394.7,223.8,160.7,207.7,223.4,361.2,436.0,481.8,515.8,556.8,609.7,686.1,835.7,1647.8,8107.2,70014.6,70000
read,402.4,228.8,148.8,209.2,225.9,371.7,447.8,491.3,523.4,562.8,614.9,692.7,858.7,1447.7,9637.5,74966.0,75000
read,401.8,217.5,160.7,210.3,227.5,370.8,447.4,491.7,524.1,562.6,613.1,688.8,845.1,1242.0,8799.3,79845.5,80000
read,388.2,196.5,160.7,208.8,225.3,358.3,425.2,466.4,498.7,538.1,589.9,671.5,826.4,1211.0,7601.4,85030.8,85000
read,407.4,255.4,160.7,214.8,233.2,377.4,445.9,487.6,518.9,557.7,611.4,691.8,873.2,1463.3,9663.1,90213.8,90000
read,667.5,337.0,160.7,381.3,418.7,583.3,774.8,853.3,898.1,942.3,992.7,1058.9,1170.4,2594.5,12936.4,93640.8,95000
read,614.1,317.4,160.7,319.9,371.2,542.8,702.5,784.0,832.4,880.9,933.0,1002.4,1110.9,1775.7,11878.7,97995.4,100000
read,664.4,309.8,160.7,397.0,426.4,567.8,790.1,861.0,899.5,936.7,981.1,1035.6,1141.4,2243.4,12045.3,96956.0,105000
read,568.6,306.2,160.7,287.6,333.3,502.2,607.1,710.6,776.2,840.5,903.5,973.7,1077.8,1495.2,12898.4,104254.4,110000
