type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,963.3,1420.5,160.7,260.0,294.3,520.0,638.2,708.6,777.9,2552.9,3135.1,3465.5,3972.0,18791.0,34062.4,30088.4,30000
read,903.7,1395.9,160.7,257.4,289.4,505.4,622.5,694.7,761.7,933.7,2911.4,3263.3,4016.5,21455.0,32474.9,34909.0,35000
read,945.8,1495.0,160.7,267.1,301.9,520.3,642.7,726.7,813.7,1282.0,2795.0,3500.9,4652.6,25411.8,35130.1,39966.0,40000
read,829.3,1503.8,160.7,260.7,293.4,492.4,598.7,672.7,733.8,835.3,2227.6,2926.7,4681.5,29133.2,37761.7,45081.4,45000
read,1481.2,3055.2,173.5,375.6,411.5,661.3,827.1,910.1,981.4,1246.7,4583.1,5057.3,8267.8,35518.3,43531.5,49381.1,50000
read,1544.8,3077.6,187.4,390.4,427.4,674.6,858.6,944.7,1016.6,3814.0,4649.4,5176.3,8526.0,36156.5,43421.8,49626.4,55000
read,1563.6,3097.6,187.4,407.4,440.9,645.7,892.6,980.9,1053.2,3878.1,4666.1,5161.0,8589.1,35999.1,41785.9,49039.6,60000
read,1550.6,3177.6,202.4,395.3,428.4,672.1,853.0,938.3,1009.8,3849.9,4651.1,5120.1,8563.9,35596.8,49228.3,50136.6,65000
read,1508.7,3036.3,187.4,378.7,413.8,657.0,835.9,928.4,1006.9,3775.8,4610.1,5090.7,8283.0,35730.7,47898.1,50741.4,70000
read,1531.4,3128.2,173.5,395.8,427.7,664.1,848.9,931.7,1001.1,3809.2,4635.3,5108.8,8485.6,35647.3,42660.9,50596.0,75000
read,1460.6,2981.7,173.5,357.7,394.2,644.4,790.1,874.2,950.8,3492.4,4570.3,5096.9,8379.3,35141.9,45225.2,52415.8,80000
read,1533.6,3145.5,187.4,395.5,428.6,652.2,860.0,943.3,1010.5,3732.0,4641.9,5135.4,8368.2,36481.8,50808.2,50293.8,85000
read,1603.8,3165.4,187.4,409.3,447.4,697.2,899.8,993.4,1078.5,3966.5,4689.6,5223.8,8549.3,36481.5,48744.3,48002.5,90000
read,1501.5,3110.6,187.4,377.1,410.9,660.3,811.3,891.2,957.8,3576.5,4612.5,5134.4,8342.8,35757.6,43309.7,51473.2,95000
read,1550.5,3198.4,187.4,393.6,428.2,664.3,856.8,937.7,1006.4,3823.5,4643.5,5120.0,8587.6,35306.8,45555.7,50186.8,100000
read,1518.2,2980.6,173.5,379.4,415.2,677.1,840.2,929.2,1012.0,3790.3,4625.7,5170.5,8232.5,35808.1,44945.6,50031.6,105000
read,1495.3,3022.1,187.4,381.5,416.4,642.0,829.3,917.5,987.0,3741.9,4609.0,5111.4,8341.4,35606.4,46403.9,51129.6,110000
read,1023.0,1490.5,160.7,257.4,289.1,506.4,631.2,699.1,781.2,2905.8,3330.6,3738.3,4041.4,20850.4,32450.7,29891.6,30000
read,875.6,1305.2,160.7,252.7,284.7,490.9,612.2,679.4,736.4,860.6,2889.2,3263.4,3998.7,17852.5,32362.7,34962.4,35000
read,834.3,1336.1,160.7,254.2,284.8,489.1,601.1,670.4,729.6,825.2,2589.8,3053.6,4515.5,20005.2,32523.4,40040.2,40000
read,777.4,1157.3,160.7,263.3,297.3,502.9,608.1,675.7,731.8,816.2,2017.5,2726.3,4043.4,15550.3,32017.2,44831.2,45000
read,871.6,1692.9,160.7,267.6,302.0,508.7,614.7,685.4,748.8,858.5,2009.7,3052.8,5267.6,30843.3,38404.5,49987.9,50000
read,1531.7,3081.2,187.4,393.5,427.3,674.8,853.8,936.5,1007.5,3820.5,4644.8,5130.9,8448.1,36400.5,44687.8,49768.0,55000
read,1524.3,3057.7,187.4,394.9,427.3,651.8,852.5,936.6,1005.7,3804.4,4635.0,5127.6,8441.2,35926.8,42921.3,50150.8,60000
read,1521.5,3094.9,187.4,391.7,425.9,643.7,846.5,934.8,1003.1,3806.7,4640.0,5113.6,8407.6,36675.7,42072.9,50521.4,65000
read,1523.1,2997.2,187.4,381.2,417.3,671.4,848.7,936.7,1012.6,3807.1,4646.1,5214.6,8281.0,36210.0,48293.9,49772.2,70000
read,1504.9,3017.4,173.5,379.2,416.2,660.9,837.8,926.5,999.1,3718.1,4618.6,5108.7,8329.3,36269.1,43357.3,50688.2,75000
read,1572.8,3167.4,187.4,406.7,441.8,654.6,878.4,972.6,1048.7,3835.7,4663.7,5253.5,8656.6,35719.8,43070.1,49262.8,80000
read,1524.1,3066.2,187.4,383.9,420.2,659.7,848.7,941.8,1015.7,3735.3,4641.4,5207.6,8426.7,36104.3,48186.0,50259.4,85000
read,1547.1,3088.6,187.4,388.9,425.8,667.7,857.2,944.9,1024.4,3852.9,4668.1,5262.6,8476.3,36648.3,47382.0,49608.6,90000
read,1547.7,3104.7,187.4,386.3,423.7,668.0,857.8,947.2,1021.0,3859.9,4633.9,5116.9,8458.0,36791.1,46444.3,49673.0,95000
read,1533.6,3069.2,187.4,400.3,432.9,642.9,867.3,954.9,1018.3,3864.4,4643.8,5097.0,8461.7,35409.1,44100.5,50172.2,100000
read,1560.1,3145.4,187.4,399.7,435.5,662.9,878.6,971.0,1041.8,3883.0,4664.2,5154.4,8538.7,36332.4,51202.3,49428.4,105000
read,1577.9,3129.0,187.4,412.8,446.0,662.9,897.8,984.8,1059.5,3916.5,4691.9,5217.4,8524.0,36390.1,48918.5,48771.2,110000
read,1002.0,1516.0,160.7,258.6,291.8,511.9,641.0,717.1,792.9,2705.8,3232.4,3642.6,4050.2,22018.5,32172.7,30170.6,30000
read,925.0,1371.2,160.7,258.2,290.9,505.2,628.8,701.2,768.1,1119.0,2971.9,3445.2,4051.3,18485.9,32382.4,34828.6,35000
read,890.7,1615.2,160.7,261.4,295.1,507.6,622.5,692.4,749.9,860.5,2536.7,3167.3,4870.6,29315.3,37434.9,40056.6,40000
read,858.5,1560.0,160.7,263.5,297.4,505.9,615.3,689.3,755.2,857.5,2225.1,3051.1,4750.6,29303.0,37012.7,44949.6,45000
read,809.4,1492.2,160.7,264.0,297.0,497.8,602.3,672.1,731.1,820.4,1548.8,2736.9,4768.4,29293.5,37268.4,50061.6,50000
read,1557.0,3156.9,187.4,398.4,434.7,671.5,872.8,960.9,1032.7,3881.2,4662.2,5127.9,8449.7,36739.1,51174.0,49268.4,55000
read,1519.6,3048.5,187.4,389.0,423.4,646.9,851.4,943.7,1014.9,3747.3,4634.9,5161.0,8395.6,36597.6,40858.7,50374.0,60000
read,1545.9,3163.8,187.4,394.2,428.1,646.5,866.8,956.2,1024.7,3793.7,4645.3,5111.0,8555.7,36089.3,42728.7,50262.4,65000
read,1546.1,3193.1,173.5,388.1,423.9,668.1,851.6,938.4,1010.9,3781.6,4650.8,5174.6,8595.4,36208.6,53665.0,50098.8,70000
read,1577.6,3099.4,187.4,409.5,444.3,668.3,897.5,989.5,1067.9,3997.4,4674.3,5132.2,8587.8,36378.3,43344.1,48760.4,75000
read,1530.2,3121.1,202.4,388.8,422.5,655.2,853.3,936.1,1004.9,3802.5,4645.7,5120.1,8507.7,35844.7,44026.0,50447.4,80000
read,1563.7,3170.1,202.4,407.4,439.9,655.2,885.7,971.9,1042.1,3939.9,4663.2,5098.9,8399.3,36552.3,48443.9,49544.4,85000
read,1504.1,3053.2,173.5,383.3,418.7,648.1,835.4,924.0,996.7,3739.9,4624.0,5100.8,8253.2,36367.0,47055.5,50971.6,90000
read,1597.8,3176.4,187.4,418.4,452.7,653.6,913.6,1005.6,1079.9,3983.3,4683.4,5211.7,8615.9,36056.1,49530.3,48291.6,95000
read,1551.0,3131.5,187.4,387.0,424.0,669.5,856.1,943.5,1017.7,3864.5,4645.0,5107.6,8536.1,34253.0,41642.0,49813.6,100000
read,1546.7,3150.1,187.4,390.0,428.0,648.6,855.8,955.6,1029.7,3814.7,4651.4,5148.9,8563.2,35495.2,43284.6,50120.4,105000
read,1467.5,3004.7,187.4,367.0,401.4,659.7,811.5,886.0,949.5,3517.1,4573.6,5087.5,8169.8,34298.7,43997.8,52144.7,110000
