type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target
read,483.0,718.1,160.7,215.9,231.4,408.2,521.5,578.0,616.8,660.0,709.8,781.9,1201.5,7918.1,31867.4,29992.9,30000
read,468.9,445.8,160.7,218.8,234.7,414.0,522.8,580.8,620.7,664.7,717.0,793.4,1012.8,5350.6,15652.4,35177.0,35000
read,465.9,537.9,160.7,218.8,234.2,398.8,509.5,572.5,615.2,661.7,717.1,797.3,1032.8,5759.5,28634.3,39965.2,40000
read,458.3,539.3,160.7,212.7,229.5,395.9,497.3,555.9,598.8,644.1,697.1,771.0,992.5,7186.5,29331.2,44918.7,45000
read,461.2,543.9,160.7,213.4,230.6,406.5,500.2,551.9,593.3,640.8,697.7,779.9,1005.7,6129.2,30278.5,50100.0,50000
read,447.5,574.1,148.8,210.7,226.5,381.5,472.8,528.7,569.7,619.3,681.2,768.7,996.1,6920.2,31240.9,55024.6,55000
read,444.9,511.5,160.7,212.4,229.3,386.6,473.5,525.6,564.7,612.4,671.9,754.6,1007.2,5522.1,25052.8,60010.0,60000
read,453.1,592.3,160.7,210.7,227.7,388.5,480.1,531.6,569.6,615.8,676.0,771.9,1068.0,6749.6,31249.4,64916.6,65000
read,416.5,434.9,160.7,207.9,222.8,360.5,439.0,488.9,527.5,575.1,635.9,730.3,934.1,6113.2,15460.4,70031.4,70000
read,418.5,346.5,148.8,209.1,225.4,373.5,455.9,502.9,538.2,580.6,634.6,721.0,916.9,5183.5,9688.6,74863.8,75000
read,427.4,495.0,160.7,211.0,227.6,372.5,450.9,498.5,534.7,578.8,636.0,727.5,948.9,5532.3,28442.5,79992.2,80000
read,422.8,457.6,148.8,211.8,228.4,368.9,446.0,492.2,527.3,571.2,632.6,731.4,967.5,5703.2,20380.3,84912.6,85000
read,444.4,349.7,160.7,221.5,243.2,402.0,476.1,522.5,557.8,603.7,665.9,762.5,983.4,4699.8,12028.4,89970.4,90000
read,541.0,444.7,160.7,252.4,291.1,480.9,576.0,645.1,697.5,758.0,833.2,933.0,1124.9,5522.8,15524.1,94761.4,95000
read,594.6,538.4,160.7,292.6,335.3,524.1,646.7,718.1,765.2,818.1,881.3,974.0,1161.2,5748.5,27953.6,98819.0,100000
read,618.7,467.6,160.7,330.4,372.8,551.0,664.0,733.2,786.0,848.3,919.0,999.9,1154.4,5921.8,18534.9,101889.4,105000
read,619.3,372.7,160.7,342.1,376.1,563.9,698.9,758.6,799.1,845.2,901.8,984.7,1137.4,5225.5,12894.6,102843.0,110000
read,471.4,685.0,160.7,209.5,224.9,395.6,515.3,569.2,603.8,640.3,684.0,745.0,1542.4,6690.5,31324.2,29924.6,30000
read,471.1,616.9,160.7,213.4,229.4,405.3,513.1,573.6,614.3,658.4,709.9,783.5,1011.5,7107.1,31020.8,34960.6,35000
read,468.9,548.7,160.7,214.7,231.0,413.3,513.1,570.7,612.2,659.7,715.3,794.7,1013.0,6133.1,30341.7,40048.8,40000
read,477.3,683.4,160.7,214.6,230.8,405.9,507.0,567.2,611.2,662.7,724.9,810.3,1029.9,8031.2,34095.0,45170.4,45000
read,457.9,556.2,160.7,214.1,230.6,397.9,493.0,547.5,589.7,639.4,703.1,795.6,989.9,5703.5,30575.7,49969.4,50000
read,450.9,477.1,160.7,214.0,230.2,395.4,487.7,542.0,583.8,633.8,696.5,790.9,989.0,5982.6,19753.7,54798.2,55000
read,455.5,519.7,160.7,215.0,231.6,398.7,490.8,542.8,582.0,629.9,692.2,790.6,1030.1,5524.6,29755.3,59935.2,60000
