#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      464.2   572.0   187.4   266.2   295.0   432.3   480.9   506.8   526.1   546.2   576.4   626.3   883.6  8246.1 29323.4   7419.4     7434
read      386.1   373.9   160.7   219.4   230.6   321.7   392.9   440.9   480.9   530.7   591.4   684.8  1036.7  4058.0 13667.7  66992.0    67201
read      356.8   340.6   160.7   217.5   227.8   302.3   358.3   397.4   429.3   469.6   526.5   618.7   922.9  3731.3 14334.6  85907.7    85927
read      382.6   359.2   160.7   219.6   230.8   318.1   392.8   443.9   484.3   532.1   588.0   675.4   961.3  3767.6 15434.6  63867.3    63953
read      436.3   378.8   173.5   222.1   235.6   366.3   481.7   542.9   580.5   621.6   672.2   750.9  1084.8  4250.5 12386.3  31535.2    31595
read      466.1   746.0   160.7   220.8   233.5   328.5   394.6   440.1   481.4   539.7   632.9   925.6  3861.7  7853.5 29659.4  87966.3    87879
read      472.2   603.8   187.4   259.6   286.1   426.8   478.4   506.7   527.4   548.6   580.9   633.1  1480.6  9504.2 25557.4   7273.3     7287
read      479.3   776.1   160.7   219.7   231.5   328.8   405.7   463.2   511.0   571.0   657.3   928.3  3951.9  7399.1 30854.0  62357.7    62295
read      490.3   833.1   187.4   263.1   290.0   427.5   478.0   506.7   528.0   550.0   582.8   635.6  1785.8 10352.3 33257.5   6591.0     6561
read      518.6   810.2   173.5   228.1   245.2   429.0   539.4   595.3   636.4   688.2   761.7   906.0  1468.4 11707.8 31964.7  22522.6    22532
read      520.1   862.2   160.7   220.3   232.8   333.5   415.8   477.9   530.6   598.7   714.1  1175.2  4071.1  7561.5 31152.5  60593.4    60653
read      441.9   666.0   160.7   219.1   230.3   326.1   402.7   457.2   500.9   552.9   620.2   749.5  3550.7  7557.3 29501.0  59129.0    59076
read      500.5   794.4   160.7   219.9   231.9   332.2   413.9   474.1   525.9   589.4   691.6  1077.4  4003.2  7212.0 30879.9  60172.6    60154
read      509.2   707.2   160.7   228.4   245.3   426.7   539.1   594.7   636.2   687.2   760.1   905.9  1445.5  9083.0 30260.2  22975.6    22964
read      536.5  1190.1   187.4   255.2   280.9   446.5   511.3   542.6   565.0   589.2   625.9   687.5  2388.4 20113.2 37218.5   8152.0     8172
