#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      394.5  1335.0   160.7   249.7   276.1   358.1   389.1   405.1   419.6   434.1   456.1   491.1   652.7  7523.0 17238.7   5023.8     5000  1682871496056  1682871501440
read      396.4   322.2   160.7   225.3   245.0   382.0   433.5   459.0   475.9   496.0   520.5   558.8   670.4  4236.1 13244.6  10091.0    10000  1682871502944  1682871508277
read      413.3   259.2   173.5   218.8   236.2   389.5   464.8   502.7   528.8   557.6   593.7   653.7   818.4  3159.2 10117.5  15070.6    15000  1682871509780  1682871515083
read      436.1   272.1   160.7   217.2   234.4   400.8   487.1   535.0   569.0   607.6   655.1   733.8   964.5  3187.1  9403.3  20051.8    20000  1682871516586  1682871521888
read      429.2   280.4   160.7   211.5   229.4   397.7   479.3   528.9   563.3   602.0   648.8   716.8   882.0  3267.4 12317.8  25001.0    25000  1682871523391  1682871528672
read      450.8   284.5   160.7   211.7   227.8   408.2   505.1   563.0   606.7   658.2   721.3   823.3  1077.9  1715.2 10866.6  30015.2    30000  1682871530176  1682871535456
read      463.9   307.0   160.7   213.4   228.6   407.5   516.5   584.4   636.0   694.9   765.0   869.1  1180.6  2534.3 10032.9  34897.8    35000  1682871536959  1682871542252
read      462.6   329.6   160.7   210.4   224.2   373.5   495.5   566.9   624.3   696.3   800.0  1018.9  1460.7  2141.2 10250.9  40027.3    40000  1682871543756  1682871549053
read      449.4   290.3   160.7   209.7   223.6   374.7   495.1   568.0   623.5   687.6   767.1   902.4  1273.9  2138.5  9558.9  44966.2    45000  1682871550557  1682871555839
read      437.8   280.8   160.7   208.7   222.4   356.3   473.9   547.6   607.0   675.2   755.3   896.8  1257.8  1860.9  8300.5  50017.2    50000  1682871557342  1682871562626
read      436.0   293.0   160.7   207.0   220.5   341.5   457.5   533.6   592.9   670.9   768.0   953.1  1386.6  1909.3  8059.9  55051.8    55000  1682871564130  1682871569423
read      429.7   298.6   160.7   207.5   221.0   341.6   444.1   515.9   572.7   642.6   743.8   928.8  1395.5  1993.9  9146.7  59918.8    60000  1682871570927  1682871576219
read      448.3   315.1   160.7   210.6   225.4   346.7   451.6   526.4   590.5   677.6   803.4  1028.3  1552.4  2197.5  7900.8  64649.2    65000  1682871577723  1682871582998
read      427.8   288.0   160.7   208.9   222.9   338.0   433.5   499.5   557.0   638.4   748.9   943.7  1407.5  2108.7  7844.0  69790.3    70000  1682871584502  1682871589777
read      431.9   309.3   160.7   210.7   225.1   342.2   432.6   498.1   558.6   641.6   758.0   963.8  1429.1  2114.4 10325.6  74938.4    75000  1682871591280  1682871596579
read      476.1   388.0   160.7   220.4   236.9   356.9   449.4   524.9   598.7   709.2   883.1  1163.2  1790.0  2901.5 11490.0  80118.0    80000  1682871598083  1682871603365
read      587.9   570.7   160.7   231.9   254.6   374.4   497.4   651.4   805.7  1022.2  1265.6  1639.8  2467.7  4709.6 13489.0  84671.4    85000  1682871604868  1682871610155
read      763.6   919.1   173.5   287.4   309.3   394.0   547.0  1240.2  1442.6  1552.3  1662.6  1814.4  2726.6 12124.8 30527.8  86062.2    90000  1682871611658  1682871616938
read      724.8   895.1   160.7   275.7   295.4   371.7   464.5  1115.0  1409.9  1516.1  1626.8  1761.5  2708.9  9605.4 31507.2  90123.1    95000  1682871618443  1682871623722
read      732.1   865.9   160.7   279.1   299.3   375.1   502.5  1194.4  1420.0  1525.4  1630.4  1762.1  2677.1 11449.2 30332.7  89843.8   100000  1682871625227  1682871630498
read      685.1   845.7   160.7   264.8   281.2   346.2   434.2   927.3  1334.1  1465.2  1579.7  1728.8  2676.7  9824.1 30449.1  95957.4   105000  1682871632001  1682871637292
read      719.2   951.3   160.7   276.5   293.0   366.1   453.3  1064.9  1404.0  1505.1  1613.8  1745.4  2672.8 12452.4 31000.0  92001.4   110000  1682871638798  1682871644087
read      762.5  1103.2   160.7   290.4   310.3   385.9   475.8  1181.6  1430.4  1540.7  1650.9  1795.7  2753.7 13555.4 31945.7  87296.2   115000  1682871645591  1682871650882
read      711.5   930.6   160.7   276.4   292.8   361.1   434.1   969.8  1391.9  1489.5  1606.8  1751.5  2711.9 12070.3 30859.5  92806.8   120000  1682871652386  1682871657664
read      729.3   801.1   148.8   280.5   299.9   375.6   501.4  1243.7  1435.3  1533.1  1636.5  1771.5  2650.3 10391.7 24875.8  89944.6   125000  1682871659167  1682871664442
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 73.53%,9.55%,100.00%
