#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      373.4   348.9   173.5   244.5   267.5   349.3   383.6   401.4   415.2   430.1   451.6   486.2   610.7  7092.6 12189.7   5035.8     5000  1682872464187  1682872469572
read      398.2   260.9   173.5   225.6   246.1   386.0   441.3   467.4   485.9   505.1   531.3   569.8   668.0  4161.9 10254.4   9990.0    10000  1682872471078  1682872476398
read      414.4   245.6   160.7   220.9   241.1   394.8   468.3   504.3   529.0   555.4   588.4   638.0   761.8  3555.0  8195.0  14970.0    15000  1682872477901  1682872483198
read      424.3   226.2   160.7   215.4   231.7   390.4   475.6   523.8   558.1   599.1   651.0   728.5   938.6  1557.8  7774.6  20093.0    20000  1682872484700  1682872489982
read      442.6   286.6   160.7   211.3   226.9   393.2   485.9   537.3   579.1   635.2   720.8   864.9  1118.7  1621.5  9552.4  24914.0    25000  1682872491484  1682872496775
read      438.7   319.8   160.7   211.6   227.3   395.9   486.6   543.5   587.6   637.5   696.7   785.5  1030.4  2747.8  8142.6  29935.8    30000  1682872498278  1682872503558
read      448.6   295.2   160.7   212.2   227.5   404.4   500.2   559.4   606.5   659.6   723.4   817.5  1090.2  2137.6 11265.0  35134.0    35000  1682872505062  1682872510342
read      449.8   279.8   160.7   211.1   225.6   393.0   501.2   565.9   615.6   675.0   746.3   862.7  1176.5  1720.8  8748.3  40061.2    40000  1682872511846  1682872517126
read      452.5   277.0   160.7   213.2   227.7   384.0   501.1   574.1   630.6   694.6   769.7   883.1  1177.3  1914.2  8024.6  44938.4    45000  1682872518629  1682872523897
read      440.8   275.0   160.7   208.8   222.3   356.0   472.3   541.4   598.9   672.8   765.3   932.4  1390.4  1866.6  6394.0  49962.4    50000  1682872525400  1682872530680
read      425.1   261.6   160.7   208.1   221.9   351.1   456.1   523.0   579.8   650.0   732.8   854.9  1180.6  1740.9  7573.0  55024.2    55000  1682872532184  1682872537500
read      436.3   281.2   160.7   209.9   224.7   353.6   460.7   531.6   588.2   659.2   753.4   912.9  1335.6  1867.4  7362.1  59872.0    60000  1682872539004  1682872544279
read      435.3   289.5   160.7   210.2   224.5   347.6   446.3   513.9   571.8   653.9   761.0   942.1  1420.3  2230.8  7224.7  64928.8    65000  1682872545783  1682872551063
read      425.6   286.6   160.7   211.5   225.6   345.2   436.0   499.2   553.0   628.9   730.3   906.5  1328.8  1970.7  8497.0  69909.0    70000  1682872552566  1682872557841
read      435.3   319.9   160.7   212.4   226.4   341.6   431.1   495.7   552.5   639.6   763.1   993.4  1508.9  2161.3 10210.5  75008.0    75000  1682872559345  1682872564624
read      449.1   314.6   160.7   216.4   231.8   354.2   442.9   505.8   565.7   649.9   778.0  1036.0  1611.6  2504.9  8137.1  80068.2    80000  1682872566126  1682872571400
read      518.5   413.1   160.7   224.9   244.0   373.3   487.7   589.0   682.0   811.6  1009.6  1303.1  1956.6  3048.3 10313.7  84964.4    85000  1682872572905  1682872578196
read      622.4   584.5   160.7   236.1   258.0   381.3   588.4   774.5   933.7  1077.5  1279.7  1692.5  2488.2  4793.6 16313.3  89337.8    90000  1682872579700  1682872584983
read      756.3   982.3   148.8   290.2   310.3   389.1   524.9  1142.3  1410.9  1527.1  1647.4  1819.8  2740.0 12454.3 31765.8  87222.4    95000  1682872586487  1682872591756
read      711.3   931.4   160.7   275.6   291.7   362.5   452.3  1052.3  1395.0  1492.3  1606.4  1741.9  2663.4 12047.3 31603.3  92690.0   100000  1682872593259  1682872598540
read      766.3   940.9   160.7   288.7   309.9   395.2   536.3  1264.3  1452.1  1558.3  1664.0  1809.5  2727.1 12153.1 31268.9  86105.9   105000  1682872600043  1682872605313
read      739.8   972.6   160.7   282.5   301.6   377.6   477.2  1200.4  1424.7  1526.3  1635.6  1775.7  2676.5 12733.8 31179.3  89172.0   110000  1682872606817  1682872612100
read      771.1  1033.1   173.5   294.9   314.5   394.4   521.2  1268.0  1452.3  1559.8  1666.0  1803.4  2699.9 13639.4 31721.5  85976.5   115000  1682872613603  1682872618873
read      774.9  1009.8   173.5   299.2   321.2   395.9   521.0  1297.2  1462.2  1565.6  1669.4  1810.3  2710.2 12762.6 31629.5  85364.7   120000  1682872620376  1682872625652
read      770.7   991.2   160.7   292.3   314.6   397.0   557.8  1240.7  1440.7  1551.5  1661.8  1811.2  2720.7 13200.6 30906.1  85672.2   125000  1682872627156  1682872632444
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 68.58%,1.50%,100.00%
