#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      378.5   488.8   173.5   247.1   271.7   354.0   384.0   400.1   412.7   427.3   447.1   483.9   608.9  5688.7 23168.8   4997.8     5000  1682872882068  1682872887428
read      399.3   397.5   160.7   228.4   249.9   384.9   436.1   460.2   476.2   495.5   518.4   551.6   645.1  4043.4 21317.1   9985.0    10000  1682872888934  1682872894265
read      409.3   254.6   160.7   220.2   239.2   390.4   466.2   501.0   524.8   549.9   582.7   628.5   733.2  3009.7 11503.4  15086.6    15000  1682872895768  1682872901067
read      413.4   257.7   160.7   217.9   236.5   384.2   469.1   512.4   540.9   572.8   610.7   666.2   791.4  2118.7 11073.3  19999.0    20000  1682872902570  1682872907865
read      429.5   266.2   160.7   217.3   237.3   396.5   480.2   529.2   563.6   602.3   647.4   711.9   853.6  2571.6 10830.4  24960.2    25000  1682872909368  1682872914653
read      433.5   226.6   160.7   217.2   236.2   403.7   482.5   532.3   570.7   615.0   666.4   733.7   859.7  1520.9  8529.5  30005.2    30000  1682872916156  1682872921448
read      434.7   220.6   160.7   215.7   233.8   405.4   484.8   534.7   573.3   618.6   672.6   743.0   879.6  1217.5  8638.1  34935.2    35000  1682872922952  1682872928240
read      433.5   219.5   160.7   215.2   233.3   405.9   482.9   531.5   569.1   614.4   668.7   740.8   885.5  1871.6  7647.3  39948.0    40000  1682872929744  1682872935023
read      440.2   263.0   160.7   216.3   233.6   411.9   494.0   542.5   581.2   626.6   681.7   755.9   902.7  1384.5  8551.2  44937.8    45000  1682872936526  1682872941808
read      426.2   244.3   160.7   212.8   229.0   396.3   476.5   525.1   560.7   604.4   661.0   737.5   876.9  2144.3  9658.9  50080.6    50000  1682872943310  1682872948583
read      416.0   222.1   160.7   211.1   226.8   386.8   466.8   511.8   546.2   589.6   645.9   730.4   883.1  1217.4  9190.9  55163.2    55000  1682872950087  1682872955370
read      419.3   218.4   160.7   212.3   228.6   388.3   470.2   517.6   552.1   595.0   652.1   734.8   887.9  1276.5  6593.2  59955.8    60000  1682872956878  1682872962154
read      419.9   280.6   160.7   212.0   228.7   387.0   468.4   515.0   549.0   591.8   645.8   727.8   887.3  1511.2 10370.1  65143.3    65000  1682872963658  1682872968932
read      419.5   209.9   160.7   213.8   231.0   389.6   468.0   514.1   548.3   590.5   645.5   730.6   896.2  1213.4  6900.8  70092.4    70000  1682872970435  1682872975719
read      417.5   213.3   160.7   216.0   233.1   388.2   465.5   511.0   545.5   586.4   636.7   713.7   864.3  1241.6  7722.3  74743.2    75000  1682872977222  1682872982499
read      423.5   206.1   160.7   219.9   239.2   394.2   469.0   513.4   546.9   587.0   638.4   718.5   882.7  1357.1  8332.1  80147.2    80000  1682872984001  1682872989272
read      452.0   245.8   160.7   229.2   255.1   420.1   498.4   545.2   581.9   624.6   677.7   760.6   957.1  1408.7 10641.8  84936.4    85000  1682872990775  1682872996052
read      696.8   350.0   160.7   399.3   438.5   599.1   784.1   892.2   951.0  1008.0  1070.0  1146.1  1264.0  2579.1 13659.4  88728.8    90000  1682872997555  1682873002835
read      674.0   344.8   160.7   377.9   418.9   581.6   740.0   858.6   922.3   984.9  1048.8  1122.0  1245.8  2663.9 12517.1  91669.9    95000  1682873004338  1682873009617
read      698.6   358.5   160.7   411.7   444.5   591.3   786.3   898.4   955.7  1013.0  1073.0  1147.0  1266.4  2941.0 13624.9  92274.4   100000  1682873011120  1682873016396
read      733.0   363.2   173.5   453.5   482.5   601.1   848.3   978.4  1030.1  1075.9  1125.8  1180.5  1280.3  2767.8 12854.0  89101.9   105000  1682873017899  1682873023185
read      705.2   357.2   160.7   438.6   462.3   577.7   845.4   947.4   984.9  1023.3  1070.5  1133.7  1251.5  2454.8 14322.7  92652.0   110000  1682873024688  1682873029967
read      736.0   359.2   173.5   457.9   485.9   607.8   811.5   981.7  1035.7  1081.7  1134.4  1195.5  1325.6  2989.3 13490.8  88870.8   115000  1682873031470  1682873036756
read      674.9   321.8   187.4   407.4   433.9   563.1   805.7   888.5   930.5   977.6  1028.5  1086.4  1182.6  1714.1 11689.7  96690.2   120000  1682873038260  1682873043533
read      693.5   352.2   173.5   411.4   443.5   583.3   797.1   902.8   955.0  1004.1  1061.2  1134.1  1257.0  2357.9 14216.6  94164.0   125000  1682873045038  1682873050361
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 70.06%,3.48%,100.00%
