#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      369.1   347.0   173.5   246.0   268.5   348.0   377.2   394.6   406.0   422.4   440.5   471.5   578.1  4247.8 13444.1   4977.4     5000  1682873114119  1682873119492
read      395.9   245.9   173.5   226.4   245.8   386.2   438.2   462.9   480.0   499.2   524.2   562.1   682.6  3978.5 11069.6  10017.6    10000  1682873120996  1682873126368
read      417.7   295.0   160.7   222.4   241.8   397.9   473.6   508.9   533.0   559.7   592.5   641.4   744.3  4085.7 12443.0  14965.4    15000  1682873127872  1682873133167
read      416.5   226.4   160.7   218.3   236.2   387.9   474.9   519.1   548.8   581.9   620.5   674.5   787.5  2407.2  7845.1  19901.8    20000  1682873134671  1682873139976
read      424.7   253.4   160.7   216.0   235.3   390.4   475.6   526.4   562.2   600.9   646.2   705.7   824.5  2445.9  9120.2  25061.8    25000  1682873141481  1682873146777
read      433.8   247.1   160.7   217.9   235.8   401.5   484.7   536.1   574.5   618.9   670.9   737.5   865.7  1380.6  9683.8  29995.4    30000  1682873148280  1682873153581
read      432.2   214.0   160.7   216.3   233.8   403.9   482.9   530.9   568.5   613.0   666.4   735.9   862.1  1477.0  7616.0  35089.8    35000  1682873155084  1682873160385
read      432.8   228.8   148.8   215.4   233.1   403.2   481.1   529.3   567.3   613.5   669.2   742.7   893.3  2207.3  5547.4  39854.8    40000  1682873161889  1682873167164
read      442.2   230.5   160.7   216.9   234.3   414.0   496.0   545.3   583.7   629.4   686.6   769.0   922.3  1373.0  9007.8  45050.0    45000  1682873168668  1682873173947
read      425.3   241.5   160.7   213.7   230.1   396.4   475.6   523.9   560.4   605.2   661.0   737.6   875.9  1326.5  8793.6  49985.1    50000  1682873175451  1682873180741
read      419.9   224.5   160.7   212.7   228.3   388.0   468.8   517.2   553.8   598.6   657.5   738.3   885.4  1245.3  7958.5  54793.8    55000  1682873182244  1682873187527
read      421.0   216.7   160.7   213.7   229.8   389.0   470.5   519.7   555.7   598.9   657.2   740.1   900.5  1298.8  6101.4  60038.7    60000  1682873189029  1682873194304
read      416.6   220.1   160.7   213.8   230.0   384.3   464.3   511.7   547.1   589.8   644.5   729.0   890.5  1271.8  7227.8  65105.2    65000  1682873195808  1682873201094
read      418.1   228.3   160.7   214.5   231.6   386.0   465.1   512.0   546.9   588.5   642.7   724.0   879.1  1230.4  9392.7  70007.6    70000  1682873202599  1682873207879
read      416.5   221.7   160.7   216.2   233.4   386.8   463.6   508.7   543.4   584.6   635.6   712.0   857.8  1221.1  8625.5  75060.8    75000  1682873209383  1682873214665
read      417.1   199.2   160.7   218.6   236.5   388.9   463.8   508.6   542.7   582.5   632.6   707.1   850.8  1161.2  6467.7  79872.6    80000  1682873216168  1682873221450
read      427.9   232.0   160.7   222.4   243.1   395.7   469.8   515.4   548.4   590.0   642.2   724.9   925.9  1354.2 10202.4  84932.0    85000  1682873222952  1682873228242
read      488.7   272.5   160.7   241.1   273.4   448.1   531.7   587.2   630.9   685.7   756.2   862.6  1028.6  1306.3 10597.8  90114.6    90000  1682873229745  1682873235027
read      673.9   333.6   160.7   381.9   415.4   584.4   787.4   863.3   909.7   958.5  1013.3  1084.7  1196.5  2679.3 13021.3  92324.2    95000  1682873236529  1682873241828
read      670.5   336.7   160.7   386.3   416.8   569.4   801.7   870.4   912.5   956.3  1004.8  1069.7  1177.5  2798.4 13128.9  94637.9   100000  1682873243331  1682873248608
read      724.1   392.0   173.5   440.6   472.2   599.1   832.3   956.6  1004.5  1054.2  1106.1  1174.3  1282.5  3225.2 13855.4  90169.4   105000  1682873250112  1682873255398
read      709.1   405.9   148.8   430.3   457.1   584.3   833.1   936.4   980.4  1023.6  1074.6  1143.6  1266.5  3435.6 16870.7  92463.4   110000  1682873256901  1682873262212
read      703.4   383.0   173.5   438.8   464.4   576.2   804.4   940.7   985.9  1030.8  1076.9  1139.9  1250.1  3608.3 15416.8  93158.4   115000  1682873263716  1682873269000
read      740.7   408.8   173.5   457.8   485.3   609.0   841.9   981.7  1033.4  1080.0  1133.2  1194.7  1320.9  4005.8 15231.1  88692.2   120000  1682873270507  1682873275790
read      729.7   366.1   160.7   454.6   482.8   599.8   807.0   972.9  1026.8  1072.0  1122.1  1180.7  1296.3  2875.0 14625.9  89805.6   125000  1682873277293  1682873282578
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 77.11%,15.42%,100.00%
