#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      370.3   371.8   173.5   242.8   266.4   347.5   377.5   394.9   406.3   422.4   440.0   469.9   577.6  7086.9 13436.5   4961.0     5000  1682873324459  1682873329804
read      394.0   274.5   173.5   225.6   245.1   385.2   437.9   463.9   481.5   500.4   525.0   560.8   643.9  3252.6 12456.3   9920.9    10000  1682873331308  1682873336639
read      408.7   240.9   160.7   220.1   238.5   391.8   466.8   501.6   525.0   549.2   581.3   628.0   735.6  2475.4 12166.8  14960.0    15000  1682873338142  1682873343458
read      417.1   231.6   160.7   218.3   236.7   388.8   475.7   520.3   549.5   583.5   623.8   677.8   789.8  1463.7  8701.4  20184.0    20000  1682873344961  1682873350248
read      428.8   231.7   160.7   222.6   241.8   394.4   482.2   531.7   566.6   606.7   654.1   718.2   850.7  1608.1  9154.5  24892.6    25000  1682873351752  1682873357058
read      437.5   281.8   160.7   219.4   239.3   402.8   483.5   535.8   575.0   619.9   672.1   741.5   879.9  2875.1  9994.6  30041.2    30000  1682873358562  1682873363857
read      433.3   223.4   160.7   216.0   234.0   402.6   480.5   532.1   571.9   618.3   672.8   743.8   873.0  1463.0  8050.5  34939.4    35000  1682873365360  1682873370641
read      438.9   248.4   160.7   216.4   234.4   410.6   488.6   537.6   575.6   621.9   679.3   758.0   907.2  1351.5 10806.7  39898.9    40000  1682873372144  1682873377435
read      436.9   247.2   160.7   215.0   232.2   408.1   488.9   537.3   575.2   621.1   677.6   753.4   906.2  2164.7  8536.7  45116.2    45000  1682873378938  1682873384233
read      429.1   213.2   160.7   215.3   231.9   401.7   481.8   528.6   564.5   609.1   665.1   742.2   894.1  1271.0  7864.7  50013.2    50000  1682873385737  1682873391052
read      420.8   257.1   148.8   212.1   228.2   387.4   467.0   514.3   550.0   594.3   654.5   737.0   902.6  2305.9 10565.1  55064.7    55000  1682873392556  1682873397832
read      420.7   214.2   160.7   213.2   229.4   389.0   469.3   517.7   553.6   597.7   654.1   735.1   906.7  1399.6  7626.0  59916.0    60000  1682873399335  1682873404608
read      419.8   226.2   148.8   213.6   230.3   386.2   465.5   514.9   550.8   593.7   650.2   735.1   903.1  1340.5  9524.1  64872.8    65000  1682873406111  1682873411397
read      420.8   239.7   160.7   216.1   233.0   388.9   468.8   517.1   551.9   594.1   646.6   725.8   873.3  1184.9  9604.5  69860.2    70000  1682873412900  1682873418177
read      420.3   232.4   160.7   216.4   234.0   387.8   466.2   513.0   547.6   588.5   640.1   720.4   884.8  1678.0  9123.2  74743.0    75000  1682873419680  1682873424948
read      422.7   215.9   148.8   218.6   237.8   393.0   467.7   511.4   544.8   585.9   637.8   719.8   909.9  1381.2  7284.4  79804.6    80000  1682873426451  1682873431726
read      425.3   205.7   160.7   222.9   244.7   396.6   468.3   512.7   546.4   586.4   637.1   714.3   870.9  1172.5  8093.8  84903.4    85000  1682873433229  1682873438510
read      481.8   261.1   148.8   239.6   272.7   444.3   524.1   576.5   617.9   668.7   734.8   839.2  1007.8  1336.3 10109.1  89959.2    90000  1682873440013  1682873445291
read      669.5   317.1   173.5   382.5   415.3   580.8   779.1   858.6   905.3   953.3  1008.5  1082.5  1205.8  2075.5 11646.8  92346.0    95000  1682873446794  1682873452088
read      706.2   359.9   173.5   420.3   450.7   586.6   833.6   926.1   974.5  1021.5  1070.8  1135.0  1250.5  3451.5 12895.4  91619.6   100000  1682873453592  1682873458876
read      688.5   348.2   173.5   403.5   432.4   581.8   816.7   893.7   937.5   984.8  1036.3  1097.6  1217.7  3361.2 12498.7  94207.7   105000  1682873460379  1682873465658
read      725.2   396.2   160.7   437.4   467.2   601.7   832.5   952.1  1004.1  1053.9  1103.6  1170.8  1283.1  3843.2 15856.8  90524.4   110000  1682873467161  1682873472447
read      710.7   375.3   173.5   430.8   459.3   586.3   828.5   941.4   989.7  1037.6  1085.3  1151.0  1262.5  3047.7 14804.0  92081.6   115000  1682873473950  1682873479230
read      703.4   355.8   187.4   422.2   450.1   583.0   838.8   925.8   970.8  1015.1  1066.6  1131.8  1247.1  2776.9 15090.9  93012.0   120000  1682873480733  1682873486018
read      732.1   373.2   160.7   444.9   477.0   612.2   811.3   958.8  1015.0  1066.6  1123.1  1190.7  1332.9  3965.0 13170.8  89584.1   125000  1682873487521  1682873492806
Warning! Detected max cpu usage > 95%
CPU Usage Stats (avg/min/max): 69.73%,2.02%,100.00%
