#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      398.1   416.7   160.7   215.2   227.2   326.6   410.5   466.7   510.6   559.8   616.7   698.2  1028.7  4291.6 16156.0  51284.2    51267
read      442.7   412.9   173.5   241.2   263.3   419.9   480.0   510.2   532.1   555.4   585.9   637.2   893.5  4984.8 16543.7  11789.9    11822
read      379.6   462.1   160.7   215.4   227.6   316.2   372.4   409.1   439.7   483.0   545.8   664.6  1155.0  4650.9 25169.0  97425.0    97494
read      368.4   370.8   160.7   216.1   227.7   312.2   366.9   402.0   431.9   471.4   532.2   635.6  1049.1  4311.3 12770.7  97246.8    97350
read      393.2   322.1   160.7   217.0   228.7   327.1   407.3   464.0   509.2   560.8   620.1   708.6  1003.8  4006.7 11238.1  55510.9    55460
read      364.2   349.6   160.7   214.3   226.1   310.5   366.4   403.1   435.2   477.9   538.0   633.7  1000.2  3916.5 13445.2  86289.8    85984
read      371.6   384.0   160.7   214.3   226.1   312.1   371.5   411.9   446.0   491.1   551.3   651.9  1063.2  4218.7 12992.4  82037.0    82043
read      395.9   404.5   160.7   215.5   227.5   326.9   408.6   465.8   510.7   561.0   619.3   707.0  1036.7  4556.6 14150.9  52829.4    52873
read      436.3   499.9   173.5   231.8   250.3   406.8   476.0   509.5   531.8   555.6   586.2   635.7   865.3  5321.4 28114.5  13896.8    13911
read      394.4   374.0   160.7   214.1   226.4   327.6   413.5   471.7   517.3   565.3   619.9   697.6   984.0  4090.7 12606.9  49979.1    49984
read      442.9   570.2   173.5   247.6   271.1   409.6   464.3   493.1   512.4   535.8   564.5   609.9   811.1  7581.0 30869.8   9240.6     9274
read      427.0   429.0   160.7   219.8   233.2   373.5   473.3   526.8   559.9   593.0   634.7   699.6   929.5  4951.5 17798.9  27223.5    27187
read      432.1   448.5   160.7   224.7   240.7   396.7   484.6   525.7   550.6   579.4   614.3   669.3   853.8  4745.7 24517.2  18722.3    18735
