,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,start,elapsed_time
39,read,440.9,400.0,173.5,229.4,246.6,413.8,496.2,534.2,558.7,585.4,622.1,680.2,862.7,5336.9,15806.9,16323.0,16287,2023-05-25 03:36:58.209912,6.5
40,read,399.4,497.8,160.7,216.9,228.3,316.6,379.2,421.4,456.1,501.8,564.9,684.6,1978.7,4953.3,16122.5,81498.3,81508,2023-05-25 03:37:08.209912,6.666666666666667
41,read,395.2,472.7,160.7,217.8,228.8,314.3,373.5,413.8,446.9,490.9,549.7,670.1,2020.4,4375.5,15225.7,87555.7,87619,2023-05-25 03:37:18.209912,6.833333333333333
42,read,409.5,537.7,160.7,219.2,231.0,320.8,379.9,419.1,452.2,497.2,562.4,698.6,2773.8,4948.9,20111.2,98977.9,99068,2023-05-25 03:37:28.209912,7.0
43,read,401.1,397.6,160.7,217.4,229.0,330.3,414.2,469.7,512.8,558.3,613.2,696.2,1031.1,4390.2,12566.2,51175.6,51267,2023-05-25 03:37:38.209912,7.166666666666667
44,read,448.0,537.9,173.5,237.1,257.0,416.2,477.0,508.6,530.6,553.9,586.1,639.1,914.7,6964.6,29365.2,11867.3,11822,2023-05-25 03:37:48.209912,7.333333333333333
45,read,415.0,567.9,160.7,219.9,232.1,325.6,386.8,427.2,461.8,507.5,575.9,716.4,2676.5,4940.0,20003.3,97238.6,97494,2023-05-25 03:37:58.209912,7.5
46,read,398.3,543.6,160.7,217.6,228.8,314.3,370.2,406.4,437.0,479.3,540.6,664.1,2356.8,5312.3,23072.2,97327.1,97350,2023-05-25 03:38:08.209912,7.666666666666667
47,read,406.4,482.1,160.7,218.1,229.5,328.7,410.0,464.7,507.8,555.1,613.1,702.4,1132.2,6180.2,19639.1,55444.2,55460,2023-05-25 03:38:18.209912,7.833333333333333
48,read,387.2,440.1,160.7,215.6,227.0,311.4,370.5,409.6,441.9,485.2,543.5,650.4,1710.5,4339.8,12784.5,85883.3,85984,2023-05-25 03:38:28.209912,8.0
49,read,399.8,504.5,160.7,216.7,228.0,315.7,379.1,421.6,456.7,503.3,567.2,688.4,1897.7,4600.2,19796.8,82118.0,82043,2023-05-25 03:38:38.209912,8.166666666666666
50,read,404.3,443.8,160.7,217.6,229.1,329.8,414.3,469.5,512.2,558.2,615.2,705.3,1098.1,4400.8,16513.6,52854.7,52873,2023-05-25 03:38:48.209912,8.333333333333334
51,read,444.6,469.3,173.5,233.5,251.6,416.2,485.6,520.0,541.7,568.2,600.2,654.6,901.2,5835.1,17312.0,13998.7,13911,2023-05-25 03:38:58.209912,8.5
52,read,423.3,465.8,160.7,221.5,234.8,343.7,435.8,495.7,538.2,586.3,648.1,753.4,1271.4,4721.8,18155.8,49914.4,49984,2023-05-25 03:39:08.209912,8.666666666666666
53,read,448.9,501.9,173.5,247.5,271.6,414.6,468.3,497.6,517.6,539.9,570.3,621.0,948.5,7672.1,27637.0,9287.9,9274,2023-05-25 03:39:18.209912,8.833333333333334
54,read,434.7,453.3,160.7,221.4,235.2,378.0,483.2,535.2,568.1,603.7,647.1,721.8,978.0,5680.7,19749.3,27194.6,27187,2023-05-25 03:39:28.209912,9.0
55,read,434.8,364.9,173.5,225.5,241.4,401.8,492.6,533.2,558.9,587.2,624.9,682.5,876.8,4641.5,13625.1,18757.1,18735,2023-05-25 03:39:38.209912,9.166666666666666
56,read,390.1,448.7,160.7,217.0,228.5,316.6,378.0,419.6,454.2,499.7,563.2,685.2,1326.2,4588.9,14313.9,86454.1,86505,2023-05-25 03:39:48.209912,9.333333333333334
57,read,395.6,525.3,160.7,217.6,229.1,317.5,376.8,416.9,450.7,495.8,558.2,682.9,1451.2,4864.8,20471.2,92815.9,93039,2023-05-25 03:39:58.209912,9.5
58,read,394.5,450.7,160.7,217.6,228.9,320.3,388.0,432.7,469.8,518.5,581.8,692.9,1275.5,4309.8,16777.2,75975.3,75999,2023-05-25 03:40:08.209912,9.666666666666666
59,read,423.3,396.6,160.7,219.4,231.8,359.2,464.8,523.1,559.5,597.9,644.5,723.1,997.5,4706.6,12531.3,32232.8,32324,2023-05-25 03:40:18.209912,9.833333333333334
60,read,387.5,477.4,160.7,216.4,227.8,315.0,376.3,418.4,453.2,498.6,559.5,674.2,1288.9,4378.1,16079.6,84217.6,84255,2023-05-25 03:40:28.209912,10.0
61,read,387.3,439.6,160.7,215.9,227.4,314.6,376.3,419.0,454.6,500.8,562.1,673.1,1279.7,4531.9,12805.7,81830.6,81759,2023-05-25 03:40:38.209912,10.166666666666666
62,read,417.2,368.3,160.7,219.3,231.6,351.9,453.5,514.9,553.6,595.6,645.9,728.7,998.5,4204.8,11534.4,37411.0,37291,2023-05-25 03:40:48.209912,10.333333333333334
63,read,400.5,449.4,160.7,217.1,228.8,329.0,412.3,467.4,510.6,557.5,613.4,699.7,1045.9,4976.9,16494.7,53869.6,53818,2023-05-25 03:40:58.209912,10.5
64,read,420.2,402.3,173.5,219.7,232.2,362.6,463.0,518.0,551.7,587.9,632.6,706.5,954.8,4765.5,12656.8,30368.6,30297,2023-05-25 03:41:08.209912,10.666666666666666
65,read,410.9,346.2,160.7,219.4,231.5,354.3,455.0,510.2,543.8,580.8,625.0,690.8,929.3,3877.3,9958.0,31478.6,31569,2023-05-25 03:41:18.209912,10.833333333333334
66,read,411.8,463.3,160.7,218.0,229.7,343.1,438.5,497.8,536.9,577.8,626.3,705.2,984.8,6207.9,16929.6,38874.2,38927,2023-05-25 03:41:28.209912,11.0
67,read,436.7,372.6,173.5,243.9,266.0,415.7,472.4,502.4,522.8,544.2,574.7,624.1,797.7,4577.2,14391.4,10691.0,10652,2023-05-25 03:41:38.209912,11.166666666666666
68,read,393.6,463.4,160.7,218.5,230.0,319.4,377.2,415.3,447.3,490.6,550.7,674.3,1471.9,4393.8,15042.6,98157.4,98119,2023-05-25 03:41:48.209912,11.333333333333334
69,read,396.8,348.5,160.7,216.4,228.3,332.4,419.3,475.7,518.4,562.9,615.8,695.9,984.6,4092.0,10223.7,48082.9,48176,2023-05-25 03:41:58.209912,11.5
70,read,405.6,325.2,160.7,217.3,229.2,346.8,445.3,502.3,538.5,576.9,622.9,692.6,934.4,3965.5,10625.4,35051.1,34929,2023-05-25 03:42:08.209912,11.666666666666666
71,read,387.9,413.3,160.7,216.3,227.8,318.6,388.5,434.6,471.8,520.4,581.6,684.1,1145.6,4219.7,14800.2,69662.0,69735,2023-05-25 03:42:18.209912,11.833333333333334
72,read,427.5,336.4,160.7,224.3,239.8,392.9,486.3,528.8,554.7,584.5,623.3,683.7,854.2,3963.7,13158.9,20653.6,20753,2023-05-25 03:42:28.209912,12.0
73,read,387.9,453.1,160.7,216.2,227.7,314.6,375.2,416.6,450.4,495.4,555.5,668.7,1319.9,4705.7,16557.0,84481.7,84642,2023-05-25 03:42:38.209912,12.166666666666666
74,read,410.0,414.0,160.7,218.6,230.5,342.1,438.6,500.2,541.7,585.4,636.8,717.3,983.9,4911.1,16420.7,42305.7,42333,2023-05-25 03:42:48.209912,12.333333333333334
75,read,393.4,462.0,160.7,217.4,229.0,324.0,400.0,451.8,492.6,540.0,597.3,689.8,1061.3,4241.7,28012.6,61647.1,61587,2023-05-25 03:42:58.209912,12.5
76,read,379.3,435.5,160.7,215.4,226.9,312.7,374.2,417.0,451.9,496.8,554.5,655.8,1126.1,4379.0,15478.1,77969.9,77998,2023-05-25 03:43:08.209912,12.666666666666666
77,read,403.0,469.5,160.7,219.5,231.3,323.0,383.1,423.8,458.0,502.5,566.6,695.9,1768.8,4372.4,12716.3,97461.3,97625,2023-05-25 03:43:18.209912,12.833333333333334
78,read,415.9,311.2,173.5,222.0,235.9,376.2,468.7,515.9,544.1,575.3,614.4,677.8,865.2,3681.0,13046.1,23733.7,23781,2023-05-25 03:43:28.209912,13.0
79,read,387.1,433.7,160.7,216.6,228.0,318.7,389.4,436.7,475.5,524.7,584.5,682.1,1092.5,5028.8,15246.4,66774.2,66723,2023-05-25 03:43:38.209912,13.166666666666666
80,read,427.9,480.3,160.7,220.5,233.7,362.0,465.7,521.7,556.8,594.1,641.0,719.1,994.5,6892.9,17602.1,31015.6,31016,2023-05-25 03:43:48.209912,13.333333333333334
81,read,401.8,429.5,160.7,217.2,228.9,333.7,422.5,480.3,522.9,568.0,621.2,701.7,998.0,4609.3,15471.5,47390.0,47394,2023-05-25 03:43:58.209912,13.5
82,read,397.1,477.7,160.7,219.2,230.7,320.9,381.1,421.0,454.7,500.0,564.2,692.2,1478.5,4301.9,16159.8,95368.9,95335,2023-05-25 03:44:08.209912,13.666666666666666
83,read,432.4,577.5,187.4,266.6,291.3,392.3,432.7,456.2,471.4,495.1,524.6,576.0,907.1,7696.8,30897.3,5252.4,5252,2023-05-25 03:44:18.209912,13.833333333333334
84,read,387.4,387.1,160.7,216.5,228.0,319.8,392.0,440.4,479.9,528.3,587.0,685.9,1097.1,4205.3,11757.3,65766.0,65908,2023-05-25 03:44:28.209912,14.0
85,read,429.6,406.7,173.5,226.8,243.0,401.2,476.6,515.0,538.2,564.9,595.6,651.5,875.3,5069.4,15904.5,16904.2,16889,2023-05-25 03:44:38.209912,14.166666666666666
86,read,408.5,462.7,160.7,218.4,230.1,340.1,432.3,491.4,532.9,575.8,625.9,704.8,1005.9,4759.1,11716.4,42968.1,42912,2023-05-25 03:44:48.209912,14.333333333333334
87,read,390.6,470.1,160.7,218.3,229.6,317.4,374.2,411.3,442.6,485.5,545.1,664.5,1461.6,4366.0,15281.1,99946.1,99898,2023-05-25 03:44:58.209912,14.5
88,read,421.8,364.1,173.5,222.4,236.5,375.3,474.3,525.5,556.9,590.7,633.3,699.2,908.1,3774.2,10205.2,26394.8,26385,2023-05-25 03:45:08.209912,14.666666666666666
89,read,417.3,355.0,173.5,221.9,235.6,377.9,467.1,512.0,538.4,568.3,604.9,667.8,888.4,4564.9,12280.8,22576.2,22616,2023-05-25 03:45:18.209912,14.833333333333334
90,read,402.6,429.6,160.7,218.5,229.7,332.6,418.0,472.6,515.9,561.8,616.7,702.3,1038.6,5954.0,12244.3,50566.2,50605,2023-05-25 03:45:28.209912,15.0
91,read,390.3,414.7,160.7,217.7,229.1,318.0,378.8,419.4,453.7,499.4,563.7,688.3,1370.4,4302.9,13252.6,90509.3,90283,2023-05-25 03:45:38.209912,15.166666666666666
92,read,425.4,384.8,160.7,221.1,234.8,374.6,474.9,525.1,555.7,589.0,631.4,696.1,954.5,4320.1,12798.7,26235.6,26273,2023-05-25 03:45:48.209912,15.333333333333334
93,read,405.4,368.6,160.7,218.7,230.3,337.1,427.4,486.2,528.9,575.5,631.2,718.2,1049.6,4328.1,11678.4,48427.0,48521,2023-05-25 03:45:58.209912,15.5
94,read,410.2,333.4,160.7,218.3,230.2,349.7,451.4,508.1,543.8,581.4,627.2,697.2,951.3,4087.6,12596.3,34077.8,34058,2023-05-25 03:46:08.209912,15.666666666666666
