,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,start,elapsed_time
0,read,434.6,402.6,173.5,265.5,294.7,412.1,454.4,476.8,495.8,516.9,544.1,589.6,731.2,6939.8,15986.0,7452.7,7434,2023-05-25 03:30:28.209912,0.0
1,read,354.5,206.4,160.7,222.8,236.3,315.2,370.8,409.6,440.7,478.7,524.9,582.8,706.5,1882.1,7728.1,67171.3,67201,2023-05-25 03:30:38.209912,0.16666666666666666
2,read,352.3,279.7,160.7,220.1,231.1,303.2,353.4,389.7,419.0,456.6,507.0,593.0,926.2,3063.0,9212.8,85986.4,85927,2023-05-25 03:30:48.209912,0.3333333333333333
3,read,396.1,374.9,160.7,220.6,232.5,326.4,400.5,450.9,491.0,539.0,602.1,714.3,1197.9,4133.2,11306.3,63920.0,63953,2023-05-25 03:30:58.209912,0.5
4,read,434.8,471.5,173.5,223.0,237.1,368.9,473.6,531.1,567.6,608.1,659.0,741.1,1023.9,5277.7,16251.9,31702.4,31595,2023-05-25 03:31:08.209912,0.6666666666666666
5,read,365.5,355.8,160.7,218.8,229.6,312.9,369.0,404.8,435.8,476.8,534.4,629.7,995.7,3546.2,14328.8,87761.7,87879,2023-05-25 03:31:18.209912,0.8333333333333334
6,read,451.5,479.3,187.4,261.3,288.5,415.5,461.4,487.1,505.1,527.2,551.3,597.8,1072.5,7901.6,15373.5,7209.0,7287,2023-05-25 03:31:28.209912,1.0
7,read,406.2,484.6,160.7,219.1,230.5,324.5,398.1,449.5,491.2,541.0,605.9,726.3,1373.7,6243.9,19543.1,62266.9,62295,2023-05-25 03:31:38.209912,1.1666666666666667
8,read,497.1,817.5,173.5,257.7,285.9,431.7,488.3,518.0,537.9,561.4,591.3,651.3,2066.7,10095.0,31580.8,6573.3,6561,2023-05-25 03:31:48.209912,1.3333333333333333
9,read,515.5,844.6,160.7,226.2,242.7,421.6,534.2,592.2,635.6,690.0,770.7,932.2,1365.0,13103.4,35377.4,22556.7,22532,2023-05-25 03:31:58.209912,1.5
10,read,498.0,845.0,160.7,219.4,231.1,327.8,406.0,464.4,513.0,574.8,674.6,1073.9,3973.0,8462.6,31166.4,60686.0,60653,2023-05-25 03:32:08.209912,1.6666666666666667
11,read,413.0,540.4,160.7,219.4,230.9,327.0,407.2,461.2,503.4,551.0,612.2,715.0,1355.8,6470.7,28443.8,59160.4,59076,2023-05-25 03:32:18.209912,1.8333333333333333
12,read,488.0,808.7,160.7,219.3,231.1,329.0,409.3,467.7,514.7,573.9,664.0,948.7,3969.4,8271.7,30668.0,60072.3,60154,2023-05-25 03:32:28.209912,2.0
13,read,510.8,914.2,173.5,226.8,243.1,417.0,527.8,580.9,620.3,668.0,732.4,871.8,1392.6,12592.8,32309.6,23022.8,22964,2023-05-25 03:32:38.209912,2.1666666666666665
14,read,550.8,1288.3,173.5,250.6,277.1,451.6,519.2,549.5,572.6,596.8,632.5,691.6,3055.5,29318.8,38847.2,8221.9,8172,2023-05-25 03:32:48.209912,2.3333333333333335
15,read,508.0,685.6,160.7,225.2,241.0,407.4,525.0,588.7,636.6,695.4,789.5,995.5,1593.8,9053.8,30595.4,27569.8,27652,2023-05-25 03:32:58.209912,2.5
16,read,510.6,800.2,160.7,222.9,237.2,372.4,485.7,553.1,602.1,666.0,762.8,1022.0,3453.4,9621.8,31614.5,37598.3,37594,2023-05-25 03:33:08.209912,2.6666666666666665
17,read,508.8,745.2,160.7,226.0,242.3,413.5,529.4,589.8,635.3,691.4,776.0,946.5,1418.8,9599.1,31607.6,24481.2,24367,2023-05-25 03:33:18.209912,2.8333333333333335
18,read,477.1,676.9,160.7,222.5,236.6,372.2,482.2,542.3,582.2,629.9,693.3,842.2,2464.1,8022.6,30777.7,33859.0,33771,2023-05-25 03:33:28.209912,3.0
19,read,590.2,1144.9,160.7,222.6,237.1,347.3,429.7,498.6,557.6,645.1,838.3,1476.2,4521.8,11687.7,35407.5,84993.8,84944,2023-05-25 03:33:38.209912,3.1666666666666665
20,read,569.6,1110.1,160.7,221.5,235.3,338.6,412.3,473.4,530.9,616.4,802.6,1381.2,4364.6,10909.6,35296.5,85858.2,85666,2023-05-25 03:33:48.209912,3.3333333333333335
21,read,530.6,922.6,160.7,217.8,229.6,331.6,420.8,489.1,542.7,611.2,729.6,1246.7,4078.8,8588.1,31683.8,51937.1,51918,2023-05-25 03:33:58.209912,3.5
22,read,486.2,651.3,160.7,223.5,238.2,378.5,493.3,557.6,602.1,656.3,728.1,892.9,2487.4,7100.5,31068.2,34382.4,34406,2023-05-25 03:34:08.209912,3.6666666666666665
23,read,447.2,397.9,160.7,228.3,244.0,386.4,496.3,550.0,585.2,625.4,675.2,747.6,1045.1,5236.7,15331.0,28773.8,28664,2023-05-25 03:34:18.209912,3.8333333333333335
24,read,635.9,1146.3,160.7,224.1,239.0,377.4,499.5,577.3,641.1,745.3,979.9,1842.8,4202.7,11622.8,35916.2,38232.0,38289,2023-05-25 03:34:28.209912,4.0
25,read,540.6,1015.1,173.5,223.2,238.5,414.0,541.6,605.3,652.2,713.1,812.5,1003.2,1805.5,13254.5,35986.6,20702.1,20658,2023-05-25 03:34:38.209912,4.166666666666667
26,read,543.6,1120.3,173.5,229.0,247.5,441.2,539.0,583.7,615.4,652.9,710.2,820.0,2457.7,20497.8,36171.0,13774.8,13840,2023-05-25 03:34:48.209912,4.333333333333333
27,read,694.7,1125.3,160.7,235.5,262.1,440.0,551.7,619.3,683.3,777.5,964.8,2588.0,4179.5,9967.5,32363.8,93539.8,93419,2023-05-25 03:34:58.209912,4.5
28,read,676.4,1145.5,160.7,237.5,261.6,431.6,557.3,631.4,694.7,796.9,977.5,1540.5,4628.0,11307.7,32440.9,98186.2,98284,2023-05-25 03:35:08.209912,4.666666666666667
29,read,559.8,945.4,160.7,220.2,233.4,347.3,436.5,508.8,561.0,631.0,777.2,1375.8,4021.8,7679.9,31781.7,71155.6,71313,2023-05-25 03:35:18.209912,4.833333333333333
30,read,415.7,479.2,160.7,218.8,230.7,342.7,438.8,500.4,542.0,585.0,635.9,717.0,999.9,5909.8,27908.7,42137.2,42089,2023-05-25 03:35:28.209912,5.0
31,read,410.8,434.4,160.7,219.2,230.8,339.4,431.5,492.7,536.1,582.7,637.3,722.3,1032.1,4962.6,15168.7,46475.6,46458,2023-05-25 03:35:38.209912,5.166666666666667
32,read,421.0,452.1,160.7,219.7,232.3,359.6,464.5,520.8,554.7,591.3,635.7,707.0,925.5,5016.7,19925.3,30841.4,30755,2023-05-25 03:35:48.209912,5.333333333333333
33,read,413.0,380.8,160.7,220.4,233.2,345.6,442.2,503.2,544.7,588.8,640.6,722.5,994.0,4299.1,11774.5,42870.6,42889,2023-05-25 03:35:58.209912,5.5
34,read,411.3,575.3,160.7,218.8,230.3,320.4,380.7,420.7,454.6,500.9,567.7,706.2,2684.4,5381.3,26449.7,93426.2,93552,2023-05-25 03:36:08.209912,5.666666666666667
35,read,408.2,487.8,160.7,218.1,229.3,323.0,397.6,448.3,489.7,539.8,604.9,714.0,1685.1,4379.6,16142.5,65755.3,65694,2023-05-25 03:36:18.209912,5.833333333333333
36,read,432.4,475.5,160.7,220.9,234.4,368.1,477.9,534.6,569.2,606.2,652.5,727.3,980.7,6539.9,24247.9,29603.1,29574,2023-05-25 03:36:28.209912,6.0
37,read,409.7,469.6,160.7,218.1,229.7,334.1,420.0,476.2,520.0,567.4,623.8,714.2,1082.0,5983.8,12889.7,51424.1,51355,2023-05-25 03:36:38.209912,6.166666666666667
38,read,394.7,483.8,160.7,217.0,228.3,318.3,388.3,434.7,473.3,522.5,582.2,681.0,1265.8,4298.9,22859.5,67482.3,67361,2023-05-25 03:36:48.209912,6.333333333333333
