,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,start,elapsed_time
0,read,451.0,397.9,187.4,270.6,301.2,423.0,467.6,494.4,512.6,536.0,565.5,615.6,804.5,7562.3,14886.6,7377.2,7434,2023-05-25 02:46:04.396715,0.0
1,read,357.1,211.9,160.7,222.4,236.0,317.2,372.8,412.6,444.6,484.1,531.7,590.3,719.2,1934.4,9345.0,67025.0,67201,2023-05-25 02:46:14.396715,0.16666666666666666
2,read,342.1,232.4,160.7,220.5,232.2,304.4,348.4,379.8,404.8,437.9,482.0,546.8,734.6,3151.1,7969.0,85958.0,85927,2023-05-25 02:46:24.396715,0.3333333333333333
3,read,400.3,447.5,160.7,221.1,233.3,324.5,403.1,457.3,498.6,546.2,607.6,709.8,1140.2,4732.3,16450.6,63895.3,63953,2023-05-25 02:46:34.396715,0.5
4,read,443.9,474.7,173.5,222.5,236.8,376.1,492.2,552.4,589.9,632.2,683.8,764.1,1047.9,5047.7,24114.0,31618.8,31595,2023-05-25 02:46:44.396715,0.6666666666666666
5,read,388.4,515.1,160.7,220.5,233.0,324.5,388.9,430.5,464.7,510.0,573.4,685.2,1153.1,4171.1,13716.6,87861.9,87879,2023-05-25 02:46:54.396715,0.8333333333333334
6,read,459.1,505.6,173.5,266.4,296.7,433.4,481.7,508.3,527.9,547.9,577.5,625.4,854.1,6127.9,30769.0,7285.6,7287,2023-05-25 02:47:04.396715,1.0
7,read,409.6,573.8,160.7,219.1,231.1,333.2,412.1,464.4,507.0,557.2,621.5,726.8,1185.5,6102.7,22142.9,62217.6,62295,2023-05-25 02:47:14.396715,1.1666666666666667
8,read,484.4,682.8,173.5,263.3,294.2,433.3,486.4,515.6,536.6,560.8,591.3,643.5,1761.2,8349.1,32095.1,6545.1,6561,2023-05-25 02:47:24.396715,1.3333333333333333
9,read,516.1,804.6,173.5,227.2,244.1,429.4,539.3,593.7,634.1,684.0,753.6,896.9,1352.3,12049.8,32420.7,22591.2,22532,2023-05-25 02:47:34.396715,1.5
10,read,535.0,908.7,160.7,218.7,230.6,331.5,413.4,476.7,530.5,600.3,724.5,1301.8,4135.1,7839.8,31364.1,60663.0,60653,2023-05-25 02:47:44.396715,1.6666666666666667
11,read,456.4,627.4,160.7,218.4,230.0,329.4,412.9,471.0,519.4,575.0,650.0,815.5,3699.2,6312.3,25307.8,59041.7,59076,2023-05-25 02:47:54.396715,1.8333333333333333
