,p95,QPS,,,
0,609.7,7406.6,,Total,93
1,574.5,67249.8,,Violation,23
2,529,85718.6,,Rate,0.247311828
3,589.2,63690.2,,,
4,691.8,31631.6,,,
5,667.4,88048.6,,,
6,620.3,7344,,,
7,686.5,62160,,,
8,599.7,6584.4,,,
9,707.6,22397.4,,,
10,701.6,60450.2,,,
11,714.4,59244,,,
12,698.3,60231,,,
13,778.6,22936.6,,,
14,703.3,8229.8,,,
15,1028.4,27450,,,
16,1047.8,37534.6,,,
17,974.6,24500.2,,,
18,1053.1,33795,,,
19,1413,84869.4,,,
20,713,85665.8,,,
21,714.4,51914.8,,,
22,842.7,34367.6,,,
23,941.6,28532.4,,,
24,1092.4,38195.4,,,
25,932.8,20679.4,,,
26,785.1,13827.6,,,
27,1620.9,93501.6,,,
28,1120.6,98150.4,,,
29,716.7,71230.6,,,
30,741.2,42035.6,,,
31,1189.5,46814,,,
32,1021.6,30820.6,,,
33,997.3,42910,,,
34,1061.9,93549.2,,,
35,690.9,65947.2,,,
36,734.7,29670.4,,,
37,1034.9,51462.6,,,
38,1005.8,67112.8,,,
39,858.7,16275.4,,,
40,1166.9,81342.6,,,
41,656.1,87543.4,,,
42,633.1,99181.4,,,
43,804.5,51212.8,,,
44,716.1,11780.8,,,
45,1187.1,97431.6,,,
46,765.9,97357.2,,,
47,719.4,55467,,,
48,678.4,85882.8,,,
49,681.9,81786,,,
50,728.6,52849.2,,,
51,749.8,13902,,,
52,3736.8,50057.6,,,
53,774.3,9247.8,,,
54,952.1,27038.2,,,
55,914,18730.2,,,
56,3632.3,86555.6,,,
57,2700.1,92897.8,,,
58,3517,75883.4,,,
59,1243.3,32245.8,,,
60,3717.7,84099.6,,,
61,3646.2,81771,,,
62,2695.8,37370.6,,,
63,3580.5,53833.2,,,
64,737.6,30250.2,,,
65,729.3,31589.6,,,
66,740.8,38842.4,,,
67,650.4,10564,,,
68,707.1,97757.6,,,
69,713.5,48285.8,,,
70,727.1,34911.8,,,
71,701,69838.6,,,
72,702.1,20851.6,,,
73,727.4,84680.2,,,
74,746.7,42266.8,,,
75,709.8,61533.8,,,
76,693.7,77861.2,,,
77,725.9,97482.4,,,
78,704.6,23798.2,,,
79,681.2,66700.6,,,
80,717.3,31135,,,
81,691.7,47333,,,
82,636,95470.2,,,
83,583.3,5256.4,,,
84,700.9,65743.8,,,
85,671.6,16796.6,,,
86,729.9,42875.6,,,
87,733.8,99627.8,,,
88,703.2,26317.8,,,
89,698.8,22674.4,,,
90,722,50658,,,
91,701.7,90396.6,,,
92,684.4,26247.6,,,
