Timestamp start: 1684982757549
Timestamp end: 1684984558076

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      414.4   560.4   160.7   217.8   229.7   321.6   381.4   420.2   453.2   498.5   564.9   702.8  3515.1  5039.6 19800.8  99021.8    99068
read      405.4   477.3   160.7   215.5   227.7   329.1   415.4   473.3   519.2   567.0   622.2   705.8  1047.0  5092.8 24198.5  51203.4    51267
read      451.3   511.6   173.5   237.1   257.9   422.9   486.3   518.3   539.2   563.8   592.9   644.8   905.8  7040.6 26177.6  11836.2    11822
read      392.9   509.3   160.7   215.2   227.2   314.4   370.4   405.8   436.2   478.1   538.9   651.9  2112.8  4487.9 18845.2  97373.6    97494
read      409.2   573.1   160.7   215.6   227.7   317.6   376.6   415.5   447.7   492.3   557.8   690.0  3205.5  4854.7 25292.0  97312.2    97350
read      409.5   503.2   160.7   215.7   227.8   327.9   409.9   466.4   511.0   561.4   620.7   713.6  1172.5  5899.2 20333.8  55467.6    55460
read      400.5   524.9   160.7   215.0   226.8   314.8   375.2   415.5   449.3   495.0   557.5   679.4  2394.0  4923.9 17770.8  85880.3    85984
read      396.3   525.4   160.7   214.0   225.8   311.1   371.6   411.8   445.3   490.2   550.1   664.3  2523.0  4483.0 22228.8  82046.4    82043
read      401.2   409.1   160.7   216.7   228.6   328.9   411.1   467.1   512.4   561.4   619.0   702.4  1025.6  4326.2 15295.3  52958.2    52873
read      459.6   532.8   173.5   234.9   254.7   429.5   503.2   537.4   560.3   586.0   621.2   676.8   915.9  7671.7 25313.6  13920.3    13911
read      407.9   438.7   160.7   219.0   231.3   337.0   425.0   484.1   528.8   576.1   631.9   718.3  1012.7  4322.4 21725.4  50000.8    49984
read      460.1   404.4   173.5   252.1   277.7   432.1   487.5   517.2   537.7   561.7   591.4   642.4  1162.2  5179.9 15391.4   9305.8     9274
read      445.0   367.7   160.7   222.1   236.8   391.3   501.2   553.5   588.1   628.3   680.3   765.5  1092.1  4283.5 13722.9  27153.1    27187
read      442.8   420.7   160.7   226.0   242.6   408.7   501.5   542.7   570.2   600.0   636.8   695.6   894.2  4779.9 17917.1  18616.0    18735
read      382.0   463.9   160.7   214.9   226.7   314.4   373.5   412.7   445.4   490.3   550.9   662.2  1190.0  4834.0 17295.0  86334.8    86505
read      398.7   467.0   160.7   217.3   229.2   321.1   382.9   423.0   457.2   503.7   571.4   703.5  1549.4  4548.0 15884.0  93161.9    93039
read      395.2   445.1   160.7   216.5   228.2   320.9   389.4   434.2   472.2   522.5   587.8   699.9  1268.7  5036.1 13675.5  75981.3    75999
read      422.7   338.4   160.7   219.0   231.4   360.3   471.3   532.9   570.2   609.3   657.4   732.4   968.2  4131.5  9609.8  32312.8    32324
read      377.0   426.5   160.7   213.9   225.8   311.7   370.8   410.2   443.0   487.1   546.5   650.9  1128.7  4283.8 15807.3  84158.8    84255
read      380.1   427.0   160.7   214.9   226.8   315.3   376.6   418.0   452.3   498.0   559.1   665.1  1103.3  4330.3 14726.3  81626.9    81759
read      421.0   384.9   160.7   218.9   231.3   355.0   458.8   521.8   562.0   604.3   655.0   731.7   978.9  4424.3 12480.1  37282.4    37291
read      402.1   497.9   160.7   216.0   228.1   330.1   414.2   471.6   516.9   565.7   623.5   708.5  1035.7  4345.4 24295.6  53746.2    53818
read      429.5   399.0   160.7   219.9   233.0   368.1   479.0   537.9   574.0   612.7   660.0   735.0   977.1  4322.1 15713.8  30342.7    30297
read      418.6   383.4   160.7   217.9   230.0   356.5   464.9   525.0   561.0   597.9   641.8   714.1   932.5  4243.9 13073.1  31545.6    31569
read      417.4   417.8   160.7   217.5   229.8   347.6   448.2   511.6   553.1   596.5   646.9   730.9  1010.1  4730.8 12884.4  38798.6    38927
read      443.3   508.1   173.5   240.5   263.0   414.6   470.1   500.2   521.0   543.4   573.6   621.7   823.0  7001.1 26525.5  10672.0    10652
read      389.8   456.5   160.7   217.4   229.3   320.3   378.1   415.4   446.8   490.8   552.4   673.0  1314.8  4341.0 14628.9  98007.6    98119
read      400.1   401.2   160.7   214.7   227.0   331.8   419.2   477.8   522.4   569.7   623.7   703.0   987.1  4479.8 11875.6  48174.7    48176
