#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      466.6   589.0   173.5   264.8   293.9   429.0   477.1   503.3   522.9   544.5   576.3   629.6  1095.0  8525.4 30369.6   7366.1     7434
read      410.9   424.0   160.7   220.4   233.4   340.6   418.1   469.3   512.0   564.2   631.9   742.5  1177.3  5075.0 15326.0  67153.4    67201
read      367.5   329.9   160.7   218.8   229.7   310.6   368.9   408.4   441.4   485.1   544.1   641.8  1016.6  3930.1 12471.5  85968.9    85927
read      381.6   332.8   160.7   219.8   231.6   318.5   392.3   444.5   485.0   532.0   588.1   675.6   943.0  3612.3 14102.1  64080.9    63953
read      434.1   385.0   160.7   221.1   234.5   365.1   481.7   542.8   580.1   620.4   670.1   745.2  1048.4  4931.0 12608.1  31468.0    31595
read      461.4   753.2   160.7   219.5   231.6   325.7   392.7   439.4   480.9   537.6   627.2   887.9  3857.3  8078.1 30882.5  88012.6    87879
read      470.4   604.2   173.5   259.5   287.9   433.3   485.9   514.7   535.1   557.8   587.5   640.0   979.3  8091.9 31371.6   7305.7     7287
read      523.0   943.9   160.7   217.7   229.7   329.3   409.2   469.1   520.8   587.6   700.8  1181.8  4109.6  9080.7 31866.4  62313.4    62295
read      494.2   839.9   173.5   263.2   291.3   429.9   481.8   510.1   531.5   554.2   585.5   638.9  2075.1 12082.7 32430.4   6545.0     6561
read      522.4   810.3   173.5   225.3   242.3   428.3   542.9   601.9   646.0   697.4   772.8   926.7  1513.4 11408.6 31785.2  22496.5    22532
read      470.5   727.5   160.7   216.1   228.2   324.4   403.4   462.6   511.1   570.9   653.7   894.1  3918.3  6756.4 28818.9  60687.9    60653
read      480.3   755.0   160.7   218.2   229.6   328.5   409.5   468.4   517.6   576.9   662.1   930.1  3919.0  7842.0 30277.1  59106.7    59076
read      513.0   867.3   160.7   218.2   229.8   327.8   407.3   467.6   518.6   581.7   680.5  1138.8  4035.7  8007.9 30783.5  60131.4    60154
read      485.0   694.7   173.5   225.2   241.1   411.3   517.6   567.9   602.8   645.2   708.0   818.1  1288.0 10779.5 31362.0  22955.0    22964
read      538.5  1081.9   173.5   249.2   276.4   456.4   524.4   556.6   579.6   606.2   639.4   706.7  2651.5 13869.2 32511.6   8231.4     8172
read      500.9   639.8   160.7   224.4   240.5   410.8   528.3   587.6   632.3   687.3   765.2   930.4  1481.4  8420.5 31000.4  27608.1    27652
read      465.0   611.8   160.7   219.7   232.7   361.1   471.8   537.3   579.4   627.1   689.1   813.9  2326.6  7357.1 30243.4  37561.4    37594
read      484.9   648.5   160.7   223.3   239.0   408.5   519.8   573.1   611.1   658.4   723.7   848.6  1320.6  7689.0 31508.2  24338.6    24367
read      450.0   546.2   160.7   220.1   233.1   363.6   474.8   534.4   572.1   614.6   669.0   768.1  1670.0  7394.1 27176.7  33712.8    33771
read      544.4   880.8   160.7   219.5   233.2   351.3   427.1   487.6   540.0   612.5   747.9  1278.2  4009.2  7290.4 31023.7  84907.3    84944
read      396.6   516.6   160.7   215.5   227.3   316.0   377.1   416.8   450.0   494.4   553.3   667.4  1914.8  4713.3 21805.9  85804.0    85666
read      415.6   525.5   160.7   214.6   226.8   325.6   411.2   469.8   515.7   564.5   622.0   713.7  1564.3  5442.2 22476.9  51879.2    51918
read      549.3   968.2   160.7   221.8   236.4   381.0   503.1   576.5   632.2   705.5   833.5  1153.7  3825.0 12444.3 32180.7  34551.5    34406
read      570.4  1034.1   173.5   223.4   238.9   400.1   525.8   594.6   650.6   724.2   856.0  1157.5  3888.2 14403.5 35701.5  28700.5    28664
read      589.2  1053.5   160.7   219.2   232.2   364.5   481.9   557.1   618.0   706.2   899.9  1450.5  4040.5 12960.7 32018.5  38334.8    38289
read      540.2   981.9   160.7   223.0   239.2   421.8   548.1   610.8   656.7   715.0   804.1   996.6  1895.1 14053.8 35521.4  20749.9    20658
read      596.9  1363.1   173.5   232.6   252.0   456.7   557.4   604.4   638.5   681.7   741.6   865.6  3831.0 27651.6 36975.7  13836.6    13840
read      526.9   882.7   160.7   221.9   236.7   348.6   427.4   489.6   543.7   621.2   761.5  1146.2  3967.9  9388.2 31559.0  93286.0    93419
read      392.6   496.3   160.7   216.5   228.5   317.6   373.6   409.3   438.9   479.2   537.0   644.9  1840.2  4365.1 17922.7  98258.2    98284
read      399.0   511.8   160.7   215.7   227.5   317.9   384.9   430.0   466.6   513.9   575.0   679.0  1611.0  4906.3 22918.2  71231.9    71313
read      419.3   470.4   160.7   218.0   230.1   343.4   442.1   506.4   549.5   594.4   647.6   731.7  1056.9  5363.8 21185.4  42167.6    42089
read      401.2   419.8   160.7   215.0   227.2   331.9   422.3   483.6   528.8   575.3   629.3   706.3   947.0  4498.5 14985.6  46557.3    46458
read      424.6   419.6   160.7   218.6   231.1   362.0   472.2   530.7   566.6   604.4   648.3   720.5   932.4  4553.1 17630.3  30833.5    30755
read      407.9   443.8   160.7   216.6   229.0   337.6   432.3   496.2   539.6   583.1   632.2   706.3   934.3  5007.5 13906.0  42875.7    42889
read      393.4   522.7   160.7   215.0   227.0   312.9   368.6   403.7   434.2   474.9   535.0   646.2  2395.6  4576.1 23256.7  93502.4    93552
read      399.9   512.1   160.7   215.5   227.5   320.1   391.5   439.9   480.0   529.3   588.2   685.9  1367.3  4379.2 21846.8  65760.5    65694
read      424.6   403.5   160.7   219.8   232.5   364.7   474.0   531.4   565.2   601.0   644.0   716.3   936.6  4616.3 13690.5  29501.5    29574
read      403.7   391.5   148.8   217.9   229.7   334.6   421.2   481.6   527.8   576.4   633.6   720.1  1005.6  4064.7 14743.6  51263.3    51355
read      397.2   490.2   160.7   215.0   226.9   317.5   387.0   434.5   473.4   523.7   583.9   681.5  1338.1  5313.6 17311.3  67602.3    67361
read      443.1   418.0   160.7   228.2   245.3   415.5   496.6   534.1   558.3   585.2   620.9   676.7   891.0  5753.8 13495.8  16193.5    16287
read      388.2   442.5   160.7   214.7   226.4   313.9   374.2   414.5   447.9   492.8   552.5   661.0  1475.6  4390.1 13254.4  81497.0    81508
read      390.2   503.2   160.7   213.7   225.7   311.5   368.8   405.3   436.7   479.8   539.8   645.3  2061.2  4362.2 16258.1  87460.7    87619
read      394.1   539.2   160.7   213.9   226.0   311.1   365.5   399.6   428.8   467.7   526.1   632.5  3083.6  4601.3 19884.6  99233.7    99068
read      404.5   414.3   160.7   216.5   228.6   332.8   419.2   478.4   523.7   572.3   628.1   713.2  1008.9  4457.0 15153.5  51265.6    51267
read      466.4   508.7   173.5   244.4   267.4   435.8   500.0   532.6   553.8   580.1   613.7   672.1  1001.9  6881.9 28180.3  11867.3    11822
read      376.3   417.3   160.7   215.6   227.6   315.5   371.5   407.7   438.5   481.1   541.1   648.5  1124.6  4616.3 14832.0  97429.0    97494
read      384.9   615.4   160.7   216.5   228.8   321.2   380.3   418.9   451.5   495.7   557.0   672.8  1190.9  4332.7 14284.3  97388.1    97350
read      399.8   426.5   160.7   215.2   227.6   329.9   412.7   469.1   515.1   565.7   623.9   713.7  1056.5  4365.8 15044.8  55596.3    55460
read      376.2   355.9   160.7   214.8   227.0   317.2   377.5   417.7   451.1   495.7   555.7   661.3  1099.7  4114.6 12167.7  86114.0    85984
read      377.9   360.4   160.7   214.1   226.4   316.1   378.1   420.6   455.9   501.9   562.2   668.3  1150.2  4049.5 12620.7  82020.8    82043
read      397.9   345.2   160.7   214.6   227.2   329.5   414.6   472.3   519.4   568.6   625.1   709.5  1046.7  4203.0 10795.6  52738.6    52873
read      442.4   407.3   160.7   232.0   250.9   419.8   491.5   525.3   546.0   571.1   599.3   649.7   832.7  6150.1 13967.7  13949.9    13911
read      400.0   343.6   160.7   215.4   228.0   334.8   423.4   483.1   527.6   575.3   631.3   714.1   991.9  3936.4 12733.8  49939.9    49984
read      455.7   571.9   173.5   248.0   272.9   422.4   476.4   504.2   524.7   546.5   578.8   629.4   874.4  7364.9 30387.7   9320.8     9274
read      430.6   387.5   160.7   220.5   234.5   377.5   481.4   534.0   566.7   602.1   646.4   720.5   958.4  4529.7 12548.6  27222.6    27187
read      437.1   412.2   160.7   225.6   242.0   405.5   495.9   535.9   561.2   587.8   624.1   679.7   867.7  4294.6 17318.8  18777.6    18735
read      376.9   372.6   160.7   215.4   227.5   317.8   377.5   417.4   450.8   495.0   553.8   657.0  1099.8  4241.1 13832.2  86339.3    86505
read      386.7   423.4   160.7   217.7   229.7   322.1   382.2   421.2   453.9   498.0   558.9   675.9  1184.0  5254.7 15509.4  92944.1    93039
read      375.3   351.6   160.7   214.7   226.8   316.1   380.1   423.0   458.8   505.1   564.0   658.5  1025.0  3983.0 12871.8  76114.4    75999
read      425.9   462.1   160.7   218.9   231.5   359.7   464.4   522.5   558.3   595.5   642.8   719.6   985.7  6397.3 13815.7  32420.3    32324
read      388.1   396.7   160.7   218.4   230.1   324.1   387.4   428.9   464.1   510.0   574.2   685.8  1177.6  4274.9 12854.7  84322.2    84255
read      380.1   337.8   160.7   217.3   229.1   320.6   383.7   424.9   459.2   504.4   565.7   670.5  1081.1  4018.4 10984.7  81835.1    81759
read      423.1   358.9   160.7   219.5   232.2   354.6   460.1   524.8   566.1   611.0   665.3   743.3  1007.0  4472.7 10197.7  37364.0    37291
read      401.0   407.2   160.7   217.1   229.2   332.6   415.0   471.9   518.2   567.4   626.2   713.7  1011.9  4980.8 15031.2  53757.7    53818
read      423.3   346.1   160.7   220.3   233.7   365.0   474.5   533.0   568.4   606.3   652.0   722.5   921.7  4006.5 12049.3  30246.0    30297
read      428.0   420.8   160.7   220.0   233.5   363.7   471.5   530.9   568.2   609.0   658.5   733.8   981.5  4930.7 14799.3  31714.2    31569
read      416.5   405.9   160.7   217.9   230.2   348.3   450.7   514.4   555.9   599.7   650.5   728.8   990.1  4237.7 16627.6  38901.7    38927
read      450.6   406.0   173.5   244.0   267.2   429.4   490.8   521.4   541.7   566.6   595.5   646.9   848.6  4875.3 15544.6  10602.1    10652
read      379.6   416.0   160.7   216.2   228.2   317.9   373.8   409.9   440.3   481.9   540.0   644.5  1153.3  4542.5 13914.3  97909.5    98119
read      399.8   360.3   160.7   215.6   228.0   334.2   421.2   480.5   526.0   573.7   627.7   707.6   969.6  5005.9 11065.2  48369.9    48176
read      417.3   380.3   160.7   217.7   230.0   353.3   457.4   518.6   556.9   596.5   644.9   720.6   971.3  4219.1 15495.2  34861.3    34929
read      377.2   361.1   160.7   214.1   226.2   317.3   384.0   430.2   467.8   516.6   576.2   666.4   989.1  4329.6 12240.0  69602.9    69735
read      433.4   386.4   160.7   223.4   238.7   394.2   492.6   537.1   565.5   595.2   634.1   692.9   884.3  4116.8 12828.5  20734.0    20753
read      496.9   392.6   173.5   322.5   360.1   458.2   497.0   523.2   544.5   577.3   627.3   718.3  1038.7  4361.0 15175.8  84608.9    84642
read      422.6   423.0   160.7   218.6   231.2   358.0   455.0   513.8   555.6   601.3   655.6   739.9   989.4  4607.2 16075.6  42291.6    42333
read      389.1   393.3   160.7   215.9   228.1   324.7   399.9   451.6   493.4   543.2   602.8   689.5   996.4  4179.0 13412.3  61714.3    61587
read      377.5   361.4   160.7   214.9   226.9   318.1   382.3   425.2   461.1   508.0   570.6   671.4  1029.6  4075.8 12682.5  77878.6    77998
read      374.4   414.6   160.7   215.0   227.2   315.7   370.9   405.7   435.4   475.3   532.6   632.2  1081.6  4420.8 15166.9  97633.5    97625
read      423.4   376.9   160.7   220.4   234.2   377.1   479.1   528.5   558.3   589.5   628.2   685.9   870.8  4165.6 13535.5  23801.7    23781
read      381.7   369.9   160.7   214.4   226.6   318.9   388.5   436.6   476.9   527.1   586.1   677.6  1016.0  3946.9 13125.2  66555.1    66723
read      428.3   448.9   160.7   219.0   231.8   362.3   471.0   531.2   567.8   607.0   654.2   726.8   949.7  6050.3 17570.0  31002.8    31016
read      407.7   403.8   160.7   216.8   229.2   338.0   430.1   492.7   537.5   585.9   641.5   725.7  1000.0  4502.8 15624.0  47361.5    47394
read      385.4   391.8   160.7   217.1   229.4   323.5   383.4   421.7   454.3   498.6   559.4   669.4  1147.7  4265.0 12758.9  95200.8    95335
read      457.3   674.4   173.5   270.7   296.9   403.3   447.6   470.9   490.6   511.0   542.8   593.6  1426.9  9441.4 30021.4   5251.9     5252
read      374.5   334.5   160.7   216.7   228.0   312.7   385.6   436.9   476.0   522.3   577.6   662.0   929.4  3685.2 11480.5  65701.2    65908
read      430.2   302.2   173.5   230.2   248.4   412.3   488.4   523.4   545.4   572.3   604.5   657.3   801.0  3783.8 12126.7  16948.8    16889
read      402.9   429.2   160.7   212.7   225.3   333.1   428.5   491.9   535.0   578.8   629.1   698.8   909.5  5458.2 16082.6  42867.8    42912
read      389.0   475.7   160.7   214.4   226.7   315.4   370.8   405.8   435.8   476.8   536.7   648.3  1685.2  4392.6 15477.7  99808.4    99898
read      418.2   381.1   160.7   217.6   230.5   368.0   475.8   528.0   559.5   591.3   630.9   690.3   862.6  3870.2 13059.0  26307.3    26385
read      424.2   394.7   160.7   219.4   233.0   380.9   482.1   528.8   557.4   587.7   626.4   685.2   860.7  4896.7 12400.8  22691.8    22616
read      389.1   305.1   160.7   215.7   227.8   325.7   413.6   471.9   515.3   560.5   612.9   686.9   886.3  3773.2 10431.7  50693.1    50605
read      326.6   203.6   160.7   217.4   227.9   293.9   334.7   363.3   386.9   417.5   459.9   523.7   669.7  2029.6  6758.8  90179.2    90283
read      415.7   299.4   160.7   227.1   243.0   383.1   475.0   517.4   542.8   571.6   605.4   659.1   794.4  3071.0 12572.0  26188.4    26273
read      377.9   248.1   160.7   220.3   232.7   325.3   403.3   459.8   500.7   542.3   585.7   642.7   782.0  2204.3 10101.6  48583.9    48521
read      398.0   247.2   160.7   223.0   237.4   352.3   449.8   501.9   533.4   565.7   601.7   653.9   784.7  2201.5  9579.4  34076.7    34058
read      339.0   180.7   160.7   218.7   229.5   302.1   350.5   386.5   415.6   452.5   499.0   561.8   687.0  1663.4  6384.1  75608.4    75648
read      430.0   243.1   160.7   237.8   256.4   415.3   487.5   522.0   543.7   569.5   599.2   650.8   800.5  2960.3 10329.0  19536.4    19482
read      439.3   301.7   173.5   242.7   263.8   428.4   489.3   519.9   539.8   563.5   591.6   640.1   777.3  4112.3 12522.6  14987.8    15054
read      338.9   203.0   160.7   218.4   229.1   300.6   347.6   383.9   413.9   453.0   502.1   567.1   696.2  1626.7  7832.2  75708.8    75754
read      441.7   422.9   173.5   280.8   307.1   411.5   453.8   477.0   496.7   519.7   549.1   599.3   776.5  6266.3 16069.8   5166.3     5187
read      433.3   256.0   160.7   236.2   257.8   421.1   487.2   519.7   540.8   566.2   595.5   647.0   783.0  3181.1 10417.4  17596.8    17656
read      319.2   164.2   160.7   216.4   227.0   290.9   328.9   354.8   375.5   403.3   442.1   501.3   632.8  1533.6  7651.5  96444.2    96343
read      393.1   211.7   160.7   222.4   236.5   345.9   441.3   496.2   529.8   563.4   600.0   654.0   775.8  1894.0  7857.1  36677.9    36665
read      328.8   172.4   160.7   217.5   228.1   295.7   339.0   369.4   394.8   427.7   470.8   535.3   659.4  1663.7  5709.9  85230.2    85269
read      403.0   222.6   160.7   224.7   239.6   362.5   459.7   508.8   537.5   568.4   604.0   658.0   783.8  2158.5  8714.7  31580.1    31525
read      355.1   187.6   160.7   219.3   230.8   310.6   370.3   415.8   452.6   496.0   544.4   606.8   736.9  1637.9  7651.9  61779.1    61798
read      433.7   294.1   173.5   246.4   269.8   421.2   471.9   501.0   521.3   543.8   575.4   626.3   779.3  4109.1 12344.4  12181.2    12253
read      412.6   325.5   160.7   228.0   244.9   388.2   462.8   499.8   524.9   551.1   587.6   644.1   791.2  2802.0 12006.5  25702.4    25710
read      336.5   178.6   160.7   219.0   229.7   300.8   346.3   380.3   408.0   444.2   491.7   556.9   681.7  1649.4  7712.6  79838.0    79937
read      446.3   358.5   173.5   269.7   299.2   424.8   470.5   497.0   515.2   538.1   567.9   617.7   762.4  5564.8 14692.0   7337.0     7271
read      336.1   182.1   160.7   220.4   232.1   303.3   347.1   378.3   403.3   436.1   479.7   542.3   679.0  1754.8  7651.2  85854.1    85861
read      330.3   190.4   160.7   219.9   230.9   299.2   340.8   369.5   393.2   423.3   463.4   524.6   660.9  1637.9  8701.2  91505.4    91467
read      348.6   203.7   160.7   220.4   232.1   307.7   360.5   399.3   431.8   472.5   523.8   586.7   718.3  1671.9  8736.7  72070.2    72217
read      416.1   283.7   160.7   228.1   243.9   372.4   474.4   523.8   553.1   583.6   620.9   676.3   820.7  2567.5 10784.6  31055.8    31080
read      348.1   177.5   160.7   222.2   235.0   312.3   364.0   399.4   428.5   463.5   508.0   571.7   720.4  1433.2  5251.1  76810.1    76878
read      341.4   185.2   160.7   221.5   233.8   308.2   354.6   386.4   411.3   442.8   484.3   544.6   709.6  2018.1  6885.1  84675.8    84584
read      434.3   324.0   160.7   246.9   270.1   421.2   471.1   498.8   518.1   540.6   571.6   623.9   793.5  4407.6 10138.8  12503.4    12492
read      372.5   229.7   160.7   224.2   238.3   329.2   395.2   440.1   474.1   513.7   556.6   618.5   765.2  2375.0  9134.9  57119.1    57106
read      331.7   450.2   160.7   221.7   233.8   303.2   343.7   371.0   393.2   420.8   457.7   513.0   647.6  1542.6  6911.6  96241.8    96245
read      445.0   379.5   173.5   273.6   303.1   416.6   460.9   486.5   504.7   528.5   557.3   609.0   777.7  6492.2 12835.3   6757.9     6791
read      333.8   191.5   160.7   221.2   233.1   303.5   345.7   374.7   398.4   427.9   466.6   526.0   664.3  1643.8  7882.7  90633.1    90728
read      434.7   473.6   187.4   280.0   306.3   401.0   438.5   461.8   478.5   500.5   530.7   580.6   748.2  8080.1 17181.7   5097.9     5151
read      338.4   183.1   160.7   220.9   232.8   305.0   350.4   382.6   408.0   440.6   483.8   544.9   684.4  1815.7  6694.5  82873.6    82969
read      390.5   232.4   160.7   224.5   239.0   342.3   428.2   483.3   520.5   557.2   595.3   651.2   775.0  2254.8 10365.9  42660.2    42635
read      327.2   207.7   160.7   220.8   232.2   299.6   339.1   365.1   385.6   410.9   446.3   500.6   635.8  1787.0  8761.9  99397.0    99337
read      329.5   174.2   160.7   220.9   232.4   300.7   341.1   368.5   390.7   418.7   457.1   515.8   651.1  1749.9  6234.5  95257.3    95192
read      356.4   220.8   160.7   222.6   235.8   315.6   371.2   411.0   442.9   482.5   530.5   591.7   731.7  1951.0  8453.0  69216.8    69200
read      388.9   224.2   160.7   228.0   243.1   340.2   416.7   469.5   511.1   552.6   595.3   654.1   783.7  2105.1  9055.4  49460.7    49459
read      413.3   249.4   160.7   229.6   245.6   376.7   472.3   517.8   544.9   573.9   607.5   658.9   788.1  2608.5  9614.7  29042.8    29055
read      360.4   187.0   160.7   221.8   234.7   316.0   375.5   420.5   456.6   500.2   549.2   613.4   741.0  1951.9  7184.4  64346.1    64324
read      436.7   342.9   173.5   278.5   306.9   409.4   450.4   472.6   492.5   513.7   542.7   589.8   770.3  5546.8 12401.1   5690.0     5705
read      336.7   222.8   160.7   220.5   232.0   303.4   347.3   378.4   402.7   435.0   476.8   538.9   677.0  1853.2  9114.2  84709.1    84816
read      415.1   258.6   160.7   232.5   248.9   395.0   477.3   514.6   537.3   562.0   589.6   633.4   743.3  2171.0 11133.2  23729.4    23714
read      347.3   192.5   160.7   220.9   233.0   309.3   361.2   397.5   427.4   464.7   512.3   576.2   706.0  1902.5  7172.2  74131.1    74116
read      430.2   319.6   160.7   236.7   254.7   416.9   491.6   526.2   547.5   573.2   602.9   650.0   768.1  2226.3 12362.0  19894.5    19948
read      390.1   227.5   160.7   224.3   238.8   340.5   426.3   483.4   522.3   559.6   599.9   656.8   786.8  1891.1  8052.4  44030.4    44213
